deplacement (mm)	charge (N)

       0	   1.528
 0.02000	   2.903
 0.04000	   4.279
 0.06000	   5.807
 0.08000	   7.335
  0.1000	   8.710
  0.1200	  10.24 
  0.1400	  11.31 
  0.1600	  12.53 
  0.1800	  13.91 
  0.2000	  15.13 
  0.2200	  16.35 
  0.2400	  17.73 
  0.2600	  19.25 
  0.2800	  20.48 
  0.3000	  22.16 
  0.3200	  23.38 
  0.3400	  24.91 
  0.3600	  25.98 
  0.3800	  27.35 
  0.4000	  29.03 
  0.4200	  30.26 
  0.4400	  31.78 
  0.4600	  33.01 
  0.4800	  34.08 
  0.5000	  34.99 
  0.5200	  36.22 
  0.5400	  37.44 
  0.5600	  38.97 
  0.5800	  40.34 
  0.6000	  41.56 
  0.6200	  42.79 
  0.6400	  44.16 
  0.6600	  45.54 
  0.6800	  47.07 
  0.7000	  48.59 
  0.7200	  49.82 
  0.7400	  51.34 
  0.7600	  52.72 
  0.7800	  54.25 
  0.8000	  55.62 
  0.8200	  56.85 
  0.8400	  58.68 
  0.8600	  60.21 
  0.8800	  61.74 
  0.9000	  63.26 
  0.9200	  65.10 
  0.9400	  66.78 
  0.9600	  68.46 
  0.9800	  70.29 
   1.000	  72.13 
   1.020	  73.81 
   1.040	  75.64 
   1.060	  77.63 
   1.080	  79.46 
   1.100	  81.45 
   1.120	  83.28 
   1.140	  85.42 
   1.160	  87.26 
   1.180	  89.55 
   1.200	  91.69 
   1.220	  93.98 
   1.240	  96.12 
   1.260	  98.26 
   1.280	 100.4  
   1.300	 102.7  
   1.320	 105.0  
   1.340	 107.3  
   1.360	 109.6  
   1.380	 112.0  
   1.400	 114.3  
   1.420	 116.4  
   1.440	 119.3  
   1.460	 121.8  
   1.480	 124.4  
   1.500	 126.8  
   1.520	 129.4  
   1.540	 131.7  
   1.560	 134.6  
   1.580	 137.1  
   1.600	 139.7  
   1.620	 142.6  
   1.640	 145.2  
   1.660	 147.9  
   1.680	 150.4  
   1.700	 153.1  
   1.720	 156.3  
   1.740	 158.8  
   1.760	 161.5  
   1.780	 164.3  
   1.800	 167.3  
   1.820	 170.1  
   1.840	 173.0  
   1.860	 175.7  
   1.880	 178.3  
   1.900	 181.2  
   1.920	 184.1  
   1.940	 186.9  
   1.960	 189.9  
   1.980	 192.8  
   2.000	 195.6  
   2.020	 198.5  
   2.040	 201.4  
   2.060	 204.5  
   2.080	 207.4  
   2.100	 210.4  
   2.120	 213.5  
   2.140	 216.5  
   2.160	 219.4  
   2.180	 222.3  
   2.200	 225.6  
   2.220	 228.8  
   2.240	 231.8  
   2.260	 234.9  
   2.280	 237.6  
   2.300	 238.8  
   2.320	 240.2  
   2.340	 241.9  
   2.360	 243.6  
   2.380	 245.9  
   2.400	 248.8  
   2.420	 251.2  
   2.440	 254.3  
   2.460	 257.2  
   2.480	 260.4  
   2.500	 263.1  
   2.520	 266.7  
   2.540	 269.4  
   2.560	 270.2  
   2.580	 270.9  
   2.600	 272.2  
   2.620	 273.8  
   2.640	 276.1  
   2.660	 278.3  
   2.680	 281.5  
   2.700	 284.5  
   2.720	 287.6  
   2.740	 291.1  
   2.760	 294.5  
   2.780	 297.8  
   2.800	 301.2  
   2.820	 305.0  
   2.840	 308.5  
   2.860	 312.0  
   2.880	 315.6  
   2.900	 319.2  
   2.920	 322.3  
   2.940	 325.3  
   2.960	 328.4  
   2.980	 331.9  
   3.000	 335.1  
   3.020	 338.6  
   3.040	 341.8  
   3.060	 345.2  
   3.080	 348.4  
   3.100	 351.3  
   3.120	 354.1  
   3.140	 356.5  
   3.160	 359.1  
   3.180	 362.0  
   3.200	 364.8  
   3.220	 367.7  
   3.240	 370.4  
   3.260	 373.5  
   3.280	 376.5  
   3.300	 379.6  
   3.320	 382.2  
   3.340	 384.9  
   3.360	 387.8  
   3.380	 391.2  
   3.400	 394.3  
   3.420	 397.3  
   3.440	 400.5  
   3.460	 403.7  
   3.480	 406.6  
   3.500	 409.8  
   3.520	 413.1  
   3.540	 416.3  
   3.560	 419.3  
   3.580	 422.2  
   3.600	 425.7  
   3.620	 428.9  
   3.640	 432.2  
   3.660	 435.2  
   3.680	 438.4  
   3.700	 441.6  
   3.720	 444.8  
   3.740	 447.7  
   3.760	 450.6  
   3.780	 452.2  
   3.800	 454.3  
   3.820	 456.9  
   3.840	 459.7  
   3.860	 462.6  
   3.880	 465.6  
   3.900	 469.0  
   3.920	 472.0  
   3.940	 475.2  
   3.960	 478.6  
   3.980	 481.7  
   4.000	 484.9  
   4.020	 488.1  
   4.040	 491.6  
   4.060	 494.7  
   4.080	 498.0  
   4.100	 501.2  
   4.120	 504.4  
   4.140	 507.8  
   4.160	 510.8  
   4.180	 514.4  
   4.200	 517.4  
   4.220	 520.6  
   4.240	 524.0  
   4.260	 527.0  
   4.280	 530.0  
   4.300	 533.2  
   4.320	 536.4  
   4.340	 539.6  
   4.360	 542.6  
   4.380	 545.8  
   4.400	 549.4  
   4.420	 552.3  
   4.440	 555.5  
   4.460	 558.7  
   4.480	 561.9  
   4.500	 565.3  
   4.520	 568.5  
   4.540	 571.7  
   4.560	 574.7  
   4.580	 578.1  
   4.600	 581.0  
   4.620	 584.2  
   4.640	 587.4  
   4.660	 590.2  
   4.680	 593.4  
   4.700	 595.4  
   4.720	 598.1  
   4.740	 600.7  
   4.760	 603.8  
   4.780	 606.4  
   4.800	 609.3  
   4.820	 612.2  
   4.840	 615.4  
   4.860	 618.3  
   4.880	 621.3  
   4.900	 624.5  
   4.920	 627.4  
   4.940	 630.0  
   4.960	 633.1  
   4.980	 636.3  
   5.000	 638.8  
   5.020	 642.1  
   5.040	 644.7  
   5.060	 647.6  
   5.080	 650.2  
   5.100	 653.0  
   5.120	 655.7  
   5.140	 658.5  
   5.160	 661.4  
   5.180	 664.0  
   5.200	 666.7  
   5.220	 669.0  
   5.240	 671.1  

