deplacement (mm)	charge (N)

       0	   1.375
 0.02000	   6.877
 0.04000	  12.68 
 0.06000	  16.05 
 0.08000	  18.95 
  0.1000	  21.09 
  0.1200	  23.53 
  0.1400	  26.28 
  0.1600	  29.03 
  0.1800	  31.33 
  0.2000	  34.08 
  0.2200	  36.37 
  0.2400	  38.97 
  0.2600	  41.26 
  0.2800	  43.40 
  0.3000	  45.84 
  0.3200	  47.68 
  0.3400	  49.82 
  0.3600	  51.65 
  0.3800	  53.79 
  0.4000	  56.23 
  0.4200	  58.22 
  0.4400	  60.51 
  0.4600	  62.81 
  0.4800	  64.94 
  0.5000	  67.39 
  0.5200	  69.53 
  0.5400	  72.28 
  0.5600	  74.42 
  0.5800	  77.48 
  0.6000	  79.92 
  0.6200	  82.82 
  0.6400	  85.42 
  0.6600	  88.94 
  0.6800	  91.99 
  0.7000	  95.05 
  0.7200	  98.26 
  0.7400	 102.4  
  0.7600	 105.3  
  0.7800	 109.3  
  0.8000	 112.8  
  0.8200	 116.7  
  0.8400	 120.0  
  0.8600	 124.2  
  0.8800	 127.9  
  0.9000	 131.6  
  0.9200	 135.8  
  0.9400	 139.8  
  0.9600	 143.8  
  0.9800	 148.1  
   1.000	 152.2  
   1.020	 156.2  
   1.040	 160.3  
   1.060	 164.4  
   1.080	 169.2  
   1.100	 173.4  
   1.120	 178.0  
   1.140	 182.5  
   1.160	 187.2  
   1.180	 191.6  
   1.200	 196.2  
   1.220	 200.8  
   1.240	 205.5  
   1.260	 210.0  
   1.280	 215.2  
   1.300	 219.9  
   1.320	 224.8  
   1.340	 229.5  
   1.360	 234.4  
   1.380	 239.3  
   1.400	 244.3  
   1.420	 249.1  
   1.440	 254.1  
   1.460	 259.3  
   1.480	 264.1  
   1.500	 269.4  
   1.520	 274.0  
   1.540	 279.2  
   1.560	 284.4  
   1.580	 289.7  
   1.600	 294.3  
   1.620	 300.1  
   1.640	 305.0  
   1.660	 310.4  
   1.680	 315.1  
   1.700	 320.6  
   1.720	 325.2  
   1.740	 330.7  
   1.760	 336.2  
   1.780	 341.7  
   1.800	 346.7  
   1.820	 352.1  
   1.840	 357.4  
   1.860	 362.9  
   1.880	 368.1  
   1.900	 373.3  
   1.920	 378.7  
   1.940	 384.0  
   1.960	 389.5  
   1.980	 394.6  
   2.000	 400.4  
   2.020	 405.6  
   2.040	 410.3  
   2.060	 416.0  
   2.080	 421.6  
   2.100	 427.0  
   2.120	 432.2  
   2.140	 437.5  
   2.160	 443.3  
   2.180	 448.2  
   2.200	 453.7  
   2.220	 459.2  
   2.240	 464.5  
   2.260	 470.2  
   2.280	 475.7  
   2.300	 481.1  
   2.320	 486.2  
   2.340	 491.9  
   2.360	 497.4  
   2.380	 502.8  
   2.400	 508.3  
   2.420	 513.9  
   2.440	 519.1  
   2.460	 524.6  
   2.480	 529.8  
   2.500	 535.3  
   2.520	 540.5  
   2.540	 545.7  
   2.560	 550.6  
   2.580	 556.2  
   2.600	 561.1  
   2.620	 566.6  
   2.640	 571.2  
   2.660	 576.3  
   2.680	 581.0  
   2.700	 586.0  
   2.720	 591.2  
   2.740	 596.1  
   2.760	 601.2  
   2.780	 606.5  
   2.800	 611.4  
   2.820	 616.4  
   2.840	 621.6  
   2.860	 626.5  
   2.880	 631.7  
   2.900	 636.5  
   2.920	 641.8  
   2.940	 646.1  
   2.960	 650.7  
   2.980	 655.0  
   3.000	 659.5  
   3.020	 656.3  
   3.040	 658.3  
   3.060	 661.4  
   3.080	 664.9  
   3.100	 667.9  
   3.120	 671.6  
   3.140	 674.2  
   3.160	 677.0  
   3.180	 679.4  
   3.200	 681.5  
   3.220	 682.9  
   3.240	 684.1  
   3.260	 683.1  
   3.280	 679.1  
   3.300	 673.6  
   3.320	 667.5  
   3.340	 658.9  
   3.360	 647.8  
   3.380	 629.9  
   3.400	 627.4  

