deplacement (mm)	charge (N)

       0	  0.3056
 0.02000	   3.362
 0.04000	   7.488
 0.06000	  10.24 
 0.08000	  12.99 
  0.1000	  15.28 
  0.1200	  17.57 
  0.1400	  19.71 
  0.1600	  22.31 
  0.1800	  23.99 
  0.2000	  25.83 
  0.2200	  27.35 
  0.2400	  28.58 
  0.2600	  29.49 
  0.2800	  30.26 
  0.3000	  32.09 
  0.3200	  32.85 
  0.3400	  34.38 
  0.3600	  34.84 
  0.3800	  34.84 
  0.4000	  35.15 
  0.4200	  35.15 
  0.4400	  35.15 
  0.4600	  35.15 
  0.4800	  35.45 
  0.5000	  35.30 
  0.5200	  36.67 
  0.5400	  37.59 
  0.5600	  37.59 
  0.5800	  38.20 
  0.6000	  38.66 
  0.6200	  39.58 
  0.6400	  40.04 
  0.6600	  42.18 
  0.6800	  44.16 
  0.7000	  46.76 
  0.7200	  48.14 
  0.7400	  49.97 
  0.7600	  51.96 
  0.7800	  53.64 
  0.8000	  55.17 
  0.8200	  57.15 
  0.8400	  59.14 
  0.8600	  60.36 
  0.8800	  61.89 
  0.9000	  63.88 
  0.9200	  64.94 
  0.9400	  66.93 
  0.9600	  68.77 
  0.9800	  70.75 
   1.000	  72.13 
   1.020	  73.81 
   1.040	  75.64 
   1.060	  76.86 
   1.080	  78.85 
   1.100	  80.23 
   1.120	  81.91 
   1.140	  83.59 
   1.160	  86.03 
   1.180	  88.33 
   1.200	  90.92 
   1.220	  92.60 
   1.240	  95.35 
   1.260	  97.49 
   1.280	  99.63 
   1.300	 102.2  
   1.320	 104.7  
   1.340	 106.5  
   1.360	 108.3  
   1.380	 110.8  
   1.400	 113.1  
   1.420	 115.2  
   1.440	 117.2  
   1.460	 119.2  
   1.480	 121.0  
   1.500	 123.2  
   1.520	 125.8  
   1.540	 127.8  
   1.560	 130.3  
   1.580	 132.8  
   1.600	 135.4  
   1.620	 138.6  
   1.640	 141.0  
   1.660	 143.8  
   1.680	 146.1  
   1.700	 149.4  
   1.720	 152.0  
   1.740	 155.0  
   1.760	 157.7  
   1.780	 161.4  
   1.800	 164.4  
   1.820	 167.8  
   1.840	 171.5  
   1.860	 174.7  
   1.880	 178.5  
   1.900	 182.2  
   1.920	 186.1  
   1.940	 189.6  
   1.960	 193.8  
   1.980	 197.7  
   2.000	 201.1  
   2.020	 205.5  
   2.040	 209.8  
   2.060	 213.3  
   2.080	 217.5  
   2.100	 221.4  
   2.120	 226.0  
   2.140	 230.0  
   2.160	 234.0  
   2.180	 238.1  
   2.200	 242.5  
   2.220	 246.8  
   2.240	 251.1  
   2.260	 254.9  
   2.280	 259.6  
   2.300	 264.1  
   2.320	 268.6  
   2.340	 273.1  
   2.360	 277.5  
   2.380	 281.9  
   2.400	 286.7  
   2.420	 291.4  
   2.440	 295.8  
   2.460	 300.3  
   2.480	 305.2  
   2.500	 309.7  
   2.520	 314.3  
   2.540	 318.9  
   2.560	 323.8  
   2.580	 328.9  
   2.600	 333.6  
   2.620	 338.6  
   2.640	 343.5  
   2.660	 348.6  
   2.680	 353.6  
   2.700	 358.8  
   2.720	 363.4  
   2.740	 368.7  
   2.760	 373.9  
   2.780	 379.3  
   2.800	 383.9  
   2.820	 389.2  
   2.840	 394.1  
   2.860	 399.6  
   2.880	 404.6  
   2.900	 410.1  
   2.920	 415.3  
   2.940	 420.7  
   2.960	 425.7  
   2.980	 430.9  
   3.000	 436.4  
   3.020	 441.6  
   3.040	 447.1  
   3.060	 452.5  
   3.080	 457.7  
   3.100	 462.9  
   3.120	 468.5  
   3.140	 473.9  
   3.160	 479.5  
   3.180	 484.9  
   3.200	 490.2  
   3.220	 495.3  
   3.240	 500.9  
   3.260	 506.1  
   3.280	 511.6  
   3.300	 516.4  
   3.320	 522.2  
   3.340	 527.8  
   3.360	 533.5  
   3.380	 538.5  
   3.400	 544.0  
   3.420	 549.5  
   3.440	 555.0  
   3.460	 560.5  
   3.480	 565.9  
   3.500	 571.4  
   3.520	 576.7  
   3.540	 582.2  
   3.560	 587.7  
   3.580	 592.6  
   3.600	 598.1  
   3.620	 603.5  
   3.640	 608.8  
   3.660	 614.2  
   3.680	 619.2  
   3.700	 625.0  
   3.720	 629.9  
   3.740	 635.7  
   3.760	 640.6  
   3.780	 646.1  
   3.800	 651.3  
   3.820	 656.8  
   3.840	 662.1  
   3.860	 667.5  
   3.880	 672.5  
   3.900	 678.2  
   3.920	 683.2  
   3.940	 688.7  
   3.960	 693.8  
   3.980	 699.0  
   4.000	 704.0  
   4.020	 709.2  
   4.040	 713.9  
   4.060	 718.8  
   4.080	 722.6  
   4.100	 726.9  
   4.120	 731.5  
   4.140	 736.1  
   4.160	 740.5  
   4.180	 745.0  
   4.200	 749.8  
   4.220	 754.0  
   4.240	 758.4  
   4.260	 762.8  
   4.280	 766.8  
   4.300	 768.9  
   4.320	 771.2  
   4.340	 767.3  
   4.360	 767.9  
   4.380	 768.2  
   4.400	 767.7  
   4.420	 765.9  
   4.440	 760.8  
   4.460	 754.7  
   4.480	 746.0  
   4.500	 733.0  
   4.520	 716.5  
   4.540	 692.1  
   4.560	 642.3  
   4.580	 520.8  
   4.600	 513.9  

