deplacement (mm);charge (N)

       0;   3.362
 0.02000;   6.418
 0.04000;   9.016
 0.06000;  12.07 
 0.08000;  13.91 
  0.1000;  16.20 
  0.1200;  18.34 
  0.1400;  20.32 
  0.1600;  21.24 
  0.1800;  23.38 
  0.2000;  23.53 
  0.2200;  25.37 
  0.2400;  27.05 
  0.2600;  28.12 
  0.2800;  28.88 
  0.3000;  30.41 
  0.3200;  31.02 
  0.3400;  31.48 
  0.3600;  31.48 
  0.3800;  32.09 
  0.4000;  32.55 
  0.4200;  32.40 
  0.4400;  32.55 
  0.4600;  33.01 
  0.4800;  33.47 
  0.5000;  33.92 
  0.5200;  35.61 
  0.5400;  35.91 
  0.5600;  36.37 
  0.5800;  36.67 
  0.6000;  37.29 
  0.6200;  38.05 
  0.6400;  39.27 
  0.6600;  40.65 
  0.6800;  42.48 
  0.7000;  43.25 
  0.7200;  45.39 
  0.7400;  46.45 
  0.7600;  48.14 
  0.7800;  49.51 
  0.8000;  51.04 
  0.8200;  52.72 
  0.8400;  54.40 
  0.8600;  55.47 
  0.8800;  56.85 
  0.9000;  58.22 
  0.9200;  60.06 
  0.9400;  61.58 
  0.9600;  62.96 
  0.9800;  64.94 
   1.000;  66.32 
   1.020;  68.00 
   1.040;  69.83 
   1.060;  71.97 
   1.080;  73.04 
   1.100;  75.18 
   1.120;  77.02 
   1.140;  79.16 
   1.160;  80.07 
   1.180;  82.37 
   1.200;  84.20 
   1.220;  86.64 
   1.240;  88.78 
   1.260;  91.08 
   1.280;  93.67 
   1.300;  95.97 
   1.320;  98.41 
   1.340; 101.2  
   1.360; 102.8  
   1.380; 104.7  
   1.400; 106.8  
   1.420; 109.3  
   1.440; 111.4  
   1.460; 113.8  
   1.480; 116.0  
   1.500; 117.7  
   1.520; 120.3  
   1.540; 121.6  
   1.560; 124.4  
   1.580; 126.2  
   1.600; 128.7  
   1.620; 131.0  
   1.640; 133.7  
   1.660; 135.7  
   1.680; 138.1  
   1.700; 140.3  
   1.720; 143.2  
   1.740; 145.6  
   1.760; 148.7  
   1.780; 151.9  
   1.800; 155.0  
   1.820; 158.5  
   1.840; 162.1  
   1.860; 165.5  
   1.880; 169.0  
   1.900; 172.8  
   1.920; 176.8  
   1.940; 180.0  
   1.960; 184.0  
   1.980; 187.7  
   2.000; 191.9  
   2.020; 195.9  
   2.040; 199.6  
   2.060; 204.3  
   2.080; 208.0  
   2.100; 212.3  
   2.120; 216.5  
   2.140; 221.1  
   2.160; 225.2  
   2.180; 229.7  
   2.200; 234.1  
   2.220; 238.7  
   2.240; 243.3  
   2.260; 248.2  
   2.280; 252.8  
   2.300; 257.6  
   2.320; 262.1  
   2.340; 267.1  
   2.360; 271.5  
   2.380; 276.4  
   2.400; 281.3  
   2.420; 286.4  
   2.440; 291.6  
   2.460; 296.6  
   2.480; 301.5  
   2.500; 306.5  
   2.520; 311.6  
   2.540; 316.6  
   2.560; 322.0  
   2.580; 326.9  
   2.600; 332.1  
   2.620; 337.3  
   2.640; 342.9  
   2.660; 348.0  
   2.680; 353.5  
   2.700; 358.3  
   2.720; 363.7  
   2.740; 368.9  
   2.760; 374.5  
   2.780; 379.6  
   2.800; 385.5  
   2.820; 390.7  
   2.840; 396.4  
   2.860; 401.9  
   2.880; 407.4  
   2.900; 412.7  
   2.920; 418.6  
   2.940; 424.1  
   2.960; 429.6  
   2.980; 434.9  
   3.000; 440.9  
   3.020; 446.4  
   3.040; 451.9  
   3.060; 457.7  
   3.080; 462.9  
   3.100; 468.7  
   3.120; 473.9  
   3.140; 480.0  
   3.160; 485.2  
   3.180; 491.0  
   3.200; 496.5  
   3.220; 502.1  
   3.240; 507.5  
   3.260; 513.3  
   3.280; 519.1  
   3.300; 525.1  
   3.320; 530.4  
   3.340; 536.5  
   3.360; 542.3  
   3.380; 548.0  
   3.400; 553.6  
   3.420; 559.3  
   3.440; 565.1  
   3.460; 571.2  
   3.480; 576.7  
   3.500; 582.7  
   3.520; 588.3  
   3.540; 593.5  
   3.560; 600.1  
   3.580; 605.3  
   3.600; 610.8  
   3.620; 615.8  
   3.640; 622.1  
   3.660; 626.1  
   3.680; 630.7  
   3.700; 635.5  
   3.720; 641.2  
   3.740; 646.9  
   3.760; 652.4  
   3.780; 657.2  
   3.800; 662.9  
   3.820; 667.9  
   3.840; 673.3  
   3.860; 672.2  
   3.880; 672.1  
   3.900; 675.9  
   3.920; 680.2  
   3.940; 684.4  
   3.960; 688.4  
   3.980; 692.7  
   4.000; 696.8  
   4.020; 700.5  
   4.040; 703.7  
   4.060; 707.5  
   4.080; 710.3  
   4.100; 713.2  
   4.120; 715.6  
   4.140; 717.6  
   4.160; 718.1  
   4.180; 718.1  
   4.200; 716.5  
   4.220; 713.6  
   4.240; 708.1  
   4.260; 700.6  
   4.280; 679.6  

