deplacement (mm)	charge (N)

       0	   3.820
 0.02000	  14.67 
 0.04000	  25.21 
 0.06000	  35.45 
 0.08000	  45.69 
  0.1000	  55.62 
  0.1200	  65.71 
  0.1400	  75.79 
  0.1600	  85.73 
  0.1800	  95.66 
  0.2000	 105.6  
  0.2200	 115.4  
  0.2400	 124.8  
  0.2600	 134.6  
  0.2800	 143.9  
  0.3000	 153.3  
  0.3200	 162.4  
  0.3400	 171.5  
  0.3600	 180.3  
  0.3800	 189.2  
  0.4000	 198.0  
  0.4200	 206.3  
  0.4400	 215.2  
  0.4600	 223.1  
  0.4800	 231.4  
  0.5000	 239.2  
  0.5200	 247.4  
  0.5400	 255.3  
  0.5600	 262.8  
  0.5800	 270.5  
  0.6000	 278.4  
  0.6200	 286.2  
  0.6400	 293.9  
  0.6600	 301.0  
  0.6800	 308.7  
  0.7000	 316.0  
  0.7200	 323.2  
  0.7400	 330.5  
  0.7600	 337.9  
  0.7800	 345.0  
  0.8000	 352.5  
  0.8200	 359.6  
  0.8400	 366.7  
  0.8600	 374.2  
  0.8800	 380.8  
  0.9000	 387.8  
  0.9200	 395.2  
  0.9400	 402.5  
  0.9600	 409.1  
  0.9800	 416.1  
   1.000	 423.1  
   1.020	 430.2  
   1.040	 436.9  
   1.060	 444.1  
   1.080	 450.9  
   1.100	 458.4  
   1.120	 464.9  
   1.140	 472.2  
   1.160	 478.8  
   1.180	 485.9  
   1.200	 492.8  
   1.220	 499.5  
   1.240	 506.3  
   1.260	 513.3  
   1.280	 520.0  
   1.300	 526.9  
   1.320	 533.6  
   1.340	 540.3  
   1.360	 547.5  
   1.380	 553.9  
   1.400	 560.8  
   1.420	 567.2  
   1.440	 574.3  
   1.460	 580.8  
   1.480	 587.6  
   1.500	 594.1  
   1.520	 601.2  
   1.540	 607.4  
   1.560	 614.5  
   1.580	 620.7  
   1.600	 627.6  
   1.620	 633.9  
   1.640	 641.0  
   1.660	 647.2  
   1.680	 653.6  
   1.700	 660.1  
   1.720	 666.4  
   1.740	 673.0  
   1.760	 679.2  
   1.780	 685.4  
   1.800	 691.9  
   1.820	 698.3  
   1.840	 704.5  
   1.860	 711.0  
   1.880	 717.5  
   1.900	 723.6  
   1.920	 729.5  
   1.940	 735.9  
   1.960	 741.9  
   1.980	 748.2  
   2.000	 753.8  
   2.020	 759.6  
   2.040	 765.7  
   2.060	 771.7  
   2.080	 777.0  
   2.100	 783.3  
   2.120	 788.8  
   2.140	 794.9  
   2.160	 800.3  
   2.180	 805.3  
   2.200	 811.0  
   2.220	 816.6  
   2.240	 821.7  
   2.260	 827.5  
   2.280	 832.7  
   2.300	 837.7  
   2.320	 843.2  
   2.340	 848.0  
   2.360	 853.3  
   2.380	 858.2  
   2.400	 863.4  
   2.420	 867.5  
   2.440	 872.6  
   2.460	 877.1  
   2.480	 881.6  
   2.500	 885.8  
   2.520	 890.4  
   2.540	 894.3  
   2.560	 898.7  
   2.580	 902.7  
   2.600	 906.3  
   2.620	 910.3  
   2.640	 914.6  
   2.660	 917.5  
   2.680	 920.5  
   2.700	 924.2  
   2.720	 927.3  
   2.740	 929.9  
   2.760	 932.6  
   2.780	 935.2  
   2.800	 937.7  
   2.820	 939.8  
   2.840	 941.5  
   2.860	 943.3  
   2.880	 944.2  
   2.900	 944.8  
   2.920	 944.8  
   2.940	 944.8  
   2.960	 943.0  
   2.980	 941.0  
   3.000	 936.4  
   3.020	 930.6  
   3.040	 919.9  
   3.060	 903.3  
   3.080	 876.7  
   3.100	 875.2  

