deplacement (mm);charge (N)

       0;   1.070
 0.02000;   3.973
 0.04000;   6.265
 0.06000;   9.474
 0.08000;  11.92 
  0.1000;  14.98 
  0.1200;  17.42 
  0.1400;  19.25 
  0.1600;  21.39 
  0.1800;  22.62 
  0.2000;  24.45 
  0.2200;  25.67 
  0.2400;  26.59 
  0.2600;  27.05 
  0.2800;  27.66 
  0.3000;  28.88 
  0.3200;  29.03 
  0.3400;  30.72 
  0.3600;  31.33 
  0.3800;  31.33 
  0.4000;  31.78 
  0.4200;  31.78 
  0.4400;  32.40 
  0.4600;  33.31 
  0.4800;  33.77 
  0.5000;  33.92 
  0.5200;  34.08 
  0.5400;  34.08 
  0.5600;  35.76 
  0.5800;  36.67 
  0.6000;  38.66 
  0.6200;  40.65 
  0.6400;  41.87 
  0.6600;  44.16 
  0.6800;  46.00 
  0.7000;  48.29 
  0.7200;  49.51 
  0.7400;  51.19 
  0.7600;  52.87 
  0.7800;  54.55 
  0.8000;  56.08 
  0.8200;  58.53 
  0.8400;  60.97 
  0.8600;  63.42 
  0.8800;  65.56 
  0.9000;  68.46 
  0.9200;  70.75 
  0.9400;  73.20 
  0.9600;  75.34 
  0.9800;  77.63 
   1.000;  80.23 
   1.020;  82.52 
   1.040;  84.96 
   1.060;  87.41 
   1.080;  90.16 
   1.100;  92.60 
   1.120;  95.35 
   1.140;  97.65 
   1.160;  99.94 
   1.180; 102.2  
   1.200; 104.8  
   1.220; 107.0  
   1.240; 109.4  
   1.260; 111.6  
   1.280; 114.0  
   1.300; 115.4  
   1.320; 118.3  
   1.340; 119.7  
   1.360; 122.2  
   1.380; 124.5  
   1.400; 127.4  
   1.420; 129.6  
   1.440; 132.6  
   1.460; 134.9  
   1.480; 138.1  
   1.500; 140.9  
   1.520; 143.8  
   1.540; 146.7  
   1.560; 150.4  
   1.580; 153.7  
   1.600; 156.6  
   1.620; 160.8  
   1.640; 164.6  
   1.660; 168.6  
   1.680; 173.0  
   1.700; 177.4  
   1.720; 181.5  
   1.740; 186.4  
   1.760; 190.7  
   1.780; 195.4  
   1.800; 199.9  
   1.820; 204.9  
   1.840; 209.8  
   1.860; 214.9  
   1.880; 219.9  
   1.900; 225.4  
   1.920; 230.4  
   1.940; 235.8  
   1.960; 241.4  
   1.980; 246.9  
   2.000; 252.3  
   2.020; 258.3  
   2.040; 264.2  
   2.060; 269.6  
   2.080; 275.7  
   2.100; 281.5  
   2.120; 287.6  
   2.140; 293.7  
   2.160; 300.0  
   2.180; 305.6  
   2.200; 312.2  
   2.220; 318.0  
   2.240; 324.7  
   2.260; 330.7  
   2.280; 337.6  
   2.300; 343.8  
   2.320; 350.4  
   2.340; 356.7  
   2.360; 363.2  
   2.380; 369.7  
   2.400; 376.4  
   2.420; 382.8  
   2.440; 389.4  
   2.460; 395.9  
   2.480; 402.7  
   2.500; 409.5  
   2.520; 416.3  
   2.540; 423.0  
   2.560; 429.7  
   2.580; 436.7  
   2.600; 443.0  
   2.620; 450.5  
   2.640; 456.9  
   2.660; 464.1  
   2.680; 470.7  
   2.700; 478.1  
   2.720; 484.7  
   2.740; 491.9  
   2.760; 498.6  
   2.780; 505.8  
   2.800; 512.4  
   2.820; 519.9  
   2.840; 526.4  
   2.860; 533.9  
   2.880; 540.8  
   2.900; 548.3  
   2.920; 555.3  
   2.940; 562.5  
   2.960; 569.4  
   2.980; 576.9  
   3.000; 583.9  
   3.020; 591.5  
   3.040; 598.9  
   3.060; 606.2  
   3.080; 612.9  
   3.100; 620.4  
   3.120; 627.8  
   3.140; 634.9  
   3.160; 642.1  
   3.180; 649.9  
   3.200; 657.1  
   3.220; 664.7  
   3.240; 672.2  
   3.260; 679.1  
   3.280; 687.0  
   3.300; 693.9  
   3.320; 701.7  
   3.340; 709.0  
   3.360; 716.4  
   3.380; 724.0  
   3.400; 731.7  
   3.420; 738.7  
   3.440; 746.3  
   3.460; 753.8  
   3.480; 761.0  
   3.500; 768.5  
   3.520; 775.5  
   3.540; 783.5  
   3.560; 790.6  
   3.580; 798.6  
   3.600; 805.5  
   3.620; 813.0  
   3.640; 820.3  
