deplacement (mm)	charge (N)

       0	  0.9169
 0.02000	   3.515
 0.04000	   5.960
 0.06000	   8.557
 0.08000	  10.85 
  0.1000	  12.68 
  0.1200	  14.36 
  0.1400	  15.74 
  0.1600	  17.42 
  0.1800	  18.03 
  0.2000	  20.17 
  0.2200	  20.94 
  0.2400	  22.31 
  0.2600	  23.07 
  0.2800	  24.91 
  0.3000	  25.37 
  0.3200	  27.35 
  0.3400	  27.96 
  0.3600	  29.65 
  0.3800	  30.41 
  0.4000	  31.78 
  0.4200	  32.85 
  0.4400	  34.38 
  0.4600	  35.61 
  0.4800	  37.74 
  0.5000	  38.51 
  0.5200	  40.34 
  0.5400	  41.72 
  0.5600	  42.63 
  0.5800	  43.70 
  0.6000	  45.39 
  0.6200	  47.22 
  0.6400	  47.83 
  0.6600	  49.66 
  0.6800	  50.12 
  0.7000	  51.65 
  0.7200	  51.19 
  0.7400	  51.96 
  0.7600	  51.34 
  0.7800	  51.96 
  0.8000	  51.50 
  0.8200	  52.26 
  0.8400	  52.41 
  0.8600	  52.57 
  0.8800	  53.03 
  0.9000	  53.48 
  0.9200	  53.64 
  0.9400	  54.86 
  0.9600	  54.86 
  0.9800	  55.32 
   1.000	  55.17 
   1.020	  56.08 
   1.040	  56.39 
   1.060	  57.30 
   1.080	  57.76 
   1.100	  58.99 
   1.120	  59.90 
   1.140	  61.74 
   1.160	  62.81 
   1.180	  64.49 
   1.200	  66.47 
   1.220	  67.24 
   1.240	  68.92 
   1.260	  69.68 
   1.280	  71.21 
   1.300	  72.13 
   1.320	  73.20 
   1.340	  74.11 
   1.360	  75.64 
   1.380	  76.25 
   1.400	  77.32 
   1.420	  78.70 
   1.440	  80.38 
   1.460	  81.60 
   1.480	  82.82 
   1.500	  84.20 
   1.520	  85.73 
   1.540	  86.80 
   1.560	  88.33 
   1.580	  89.24 
   1.600	  91.23 
   1.620	  92.15 
   1.640	  93.83 
   1.660	  95.35 
   1.680	  96.42 
   1.700	  97.95 
   1.720	  99.17 
   1.740	 101.3  
   1.760	 103.1  
   1.780	 105.1  
   1.800	 106.4  
   1.820	 108.6  
   1.840	 109.1  
   1.860	 111.2  
   1.880	 112.8  
   1.900	 114.2  
   1.920	 115.7  
   1.940	 117.1  
   1.960	 118.6  
   1.980	 120.7  
   2.000	 121.5  
   2.020	 123.5  
   2.040	 125.2  
   2.060	 126.7  
   2.080	 128.2  
   2.100	 130.2  
   2.120	 131.1  
   2.140	 132.8  
   2.160	 134.3  
   2.180	 135.7  
   2.200	 137.8  
   2.220	 138.9  
   2.240	 140.7  
   2.260	 142.4  
   2.280	 144.6  
   2.300	 145.5  
   2.320	 147.8  
   2.340	 149.3  
   2.360	 151.0  
   2.380	 152.8  
   2.400	 154.8  
   2.420	 156.3  
   2.440	 158.2  
   2.460	 160.0  
   2.480	 162.3  
   2.500	 163.8  
   2.520	 165.3  
   2.540	 167.3  
   2.560	 169.6  
   2.580	 171.3  
   2.600	 173.7  
   2.620	 174.8  
   2.640	 177.3  
   2.660	 179.6  
   2.680	 181.8  
   2.700	 184.3  
   2.720	 185.8  
   2.740	 187.7  
   2.760	 189.8  
   2.780	 192.4  
   2.800	 194.4  
   2.820	 197.0  
   2.840	 199.1  
   2.860	 201.6  
   2.880	 203.7  
   2.900	 205.7  
   2.920	 208.0  
   2.940	 210.4  
   2.960	 212.7  
   2.980	 215.5  
   3.000	 217.5  
   3.020	 219.4  
   3.040	 222.0  
   3.060	 224.3  
   3.080	 226.5  
   3.100	 229.2  
   3.120	 231.2  
   3.140	 233.5  
   3.160	 235.9  
   3.180	 238.1  
   3.200	 241.0  
   3.220	 243.1  
   3.240	 245.6  
   3.260	 248.0  
   3.280	 250.3  
   3.300	 252.6  
   3.320	 255.2  
   3.340	 257.3  
   3.360	 259.8  
   3.380	 261.9  
   3.400	 264.4  
   3.420	 266.7  
   3.440	 269.1  
   3.460	 271.2  
   3.480	 274.1  
   3.500	 276.4  
   3.520	 278.7  
   3.540	 280.9  
   3.560	 283.5  
   3.580	 285.8  
   3.600	 288.2  
   3.620	 290.5  
   3.640	 293.1  
   3.660	 295.5  
   3.680	 297.5  
   3.700	 300.4  
   3.720	 302.1  
   3.740	 304.7  
   3.760	 306.8  
   3.780	 309.9  
   3.800	 311.7  
   3.820	 314.2  
   3.840	 316.5  
   3.860	 319.2  
   3.880	 321.2  
   3.900	 323.7  
   3.920	 325.8  
   3.940	 328.7  
   3.960	 330.7  
   3.980	 333.1  
   4.000	 335.6  
   4.020	 337.7  
   4.040	 340.2  
   4.060	 342.5  
   4.080	 344.9  
   4.100	 346.7  
   4.120	 349.0  
   4.140	 351.3  
   4.160	 353.6  
   4.180	 355.9  
   4.200	 358.8  
   4.220	 360.5  
   4.240	 363.1  
   4.260	 365.2  
   4.280	 367.7  
   4.300	 369.8  
   4.320	 372.2  
   4.340	 374.1  
   4.360	 376.4  
   4.380	 378.1  
   4.400	 380.3  
   4.420	 382.6  
   4.440	 384.9  
   4.460	 387.2  
   4.480	 389.8  
   4.500	 391.5  
   4.520	 393.0  
   4.540	 395.5  
   4.560	 397.5  
   4.580	 400.1  
   4.600	 402.2  
   4.620	 404.0  
   4.640	 406.5  
   4.660	 407.9  
   4.680	 410.0  
   4.700	 412.1  
   4.720	 414.3  
   4.740	 416.4  
   4.760	 418.1  
   4.780	 420.4  
