deplacement (mm);charge (N)

       0;   2.903
 0.02000;  12.68 
 0.04000;  20.78 
 0.06000;  26.74 
 0.08000;  32.85 
  0.1000;  38.36 
  0.1200;  44.47 
  0.1400;  50.43 
  0.1600;  55.93 
  0.1800;  62.04 
  0.2000;  68.15 
  0.2200;  73.81 
  0.2400;  79.77 
  0.2600;  85.42 
  0.2800;  91.38 
  0.3000;  97.04 
  0.3200; 102.7  
  0.3400; 108.6  
  0.3600; 114.5  
  0.3800; 120.4  
  0.4000; 126.2  
  0.4200; 132.3  
  0.4400; 138.0  
  0.4600; 143.9  
  0.4800; 149.8  
  0.5000; 156.0  
  0.5200; 162.1  
  0.5400; 167.9  
  0.5600; 173.9  
  0.5800; 180.2  
  0.6000; 185.5  
  0.6200; 191.8  
  0.6400; 197.4  
  0.6600; 204.0  
  0.6800; 210.1  
  0.7000; 216.4  
  0.7200; 222.6  
  0.7400; 229.1  
  0.7600; 235.3  
  0.7800; 241.6  
  0.8000; 248.3  
  0.8200; 254.7  
  0.8400; 261.3  
  0.8600; 267.7  
  0.8800; 274.1  
  0.9000; 280.9  
  0.9200; 287.4  
  0.9400; 294.2  
  0.9600; 301.2  
  0.9800; 307.6  
   1.000; 315.1  
   1.020; 321.1  
   1.040; 328.5  
   1.060; 334.8  
   1.080; 342.1  
   1.100; 349.0  
   1.120; 356.4  
   1.140; 362.9  
   1.160; 370.3  
   1.180; 377.1  
   1.200; 384.2  
   1.220; 391.0  
   1.240; 398.7  
   1.260; 406.2  
   1.280; 413.1  
   1.300; 420.2  
   1.320; 427.7  
   1.340; 435.1  
   1.360; 442.5  
   1.380; 449.7  
   1.400; 457.1  
   1.420; 464.5  
   1.440; 471.9  
   1.460; 479.5  
   1.480; 486.4  
   1.500; 493.9  
   1.520; 501.5  
   1.540; 509.0  
   1.560; 516.5  
   1.580; 524.6  
   1.600; 531.8  
   1.620; 539.9  
   1.640; 547.5  
   1.660; 555.5  
   1.680; 563.0  
   1.700; 571.2  
   1.720; 578.2  
   1.740; 586.6  
   1.760; 594.1  
   1.780; 601.5  
   1.800; 609.3  
   1.820; 616.9  
   1.840; 624.8  
   1.860; 632.9  
   1.880; 640.4  
   1.900; 648.2  
   1.920; 656.0  
   1.940; 663.8  
   1.960; 671.6  
   1.980; 679.4  
   2.000; 687.2  
   2.020; 694.7  
   2.040; 702.8  
   2.060; 710.4  
   2.080; 718.7  
   2.100; 726.2  
   2.120; 734.3  
   2.140; 741.4  
   2.160; 749.5  
   2.180; 757.0  
   2.200; 765.1  
   2.220; 772.6  
   2.240; 780.9  
   2.260; 788.2  
   2.280; 795.7  
   2.300; 803.5  
   2.320; 811.1  
   2.340; 818.9  
   2.360; 826.9  
   2.380; 834.2  
   2.400; 842.0  
   2.420; 849.6  
   2.440; 857.4  
   2.460; 864.8  
   2.480; 872.4  
   2.500; 879.7  
   2.520; 887.7  
   2.540; 895.2  
   2.560; 902.7  
   2.580; 910.3  
   2.600; 917.3  
   2.620; 925.1  
   2.640; 932.5  
   2.660; 939.8  
   2.680; 947.0  
   2.700; 954.6  
   2.720; 961.6  
   2.740; 969.3  
   2.760; 976.2  
   2.780; 983.0  
   2.800; 990.4  
   2.820; 997.4  
   2.840;1005    
   2.860;1011    
   2.880;1018    
   2.900;1025    
   2.920;1032    
   2.940;1039    
   2.960;1046    
   2.980;1052    
   3.000;1059    
   3.020;1065    
   3.040;1072    
   3.060;1078    
   3.080;1085    
   3.100;1091    
   3.120;1097    
   3.140;1103    
   3.160;1109    
   3.180;1116    
   3.200;1122    
   3.220;1128    
   3.240;1134    
   3.260;1139    
   3.280;1144    
   3.300;1150    
   3.320;1155    
   3.340;1160    
   3.360;1165    
   3.380;1170    
   3.400;1175    
   3.420;1179    
   3.440;1183    
   3.460;1188    
   3.480;1191    
   3.500;1195    
   3.520;1199    
   3.540;1202    
   3.560;1205    
   3.580;1208    
   3.600;1210    
   3.620;1213    
   3.640;1215    
   3.660;1217    
   3.680;1218    
   3.700;1220    
   3.720;1221    
   3.740;1222    
   3.760;1222    
   3.780;1222    
   3.800;1222    
   3.820;1222    
   3.840;1222    
   3.860;1222    
   3.880;1221    
   3.900;1220    
   3.920;1219    
   3.940;1217    
   3.960;1216    
   3.980;1215    
   4.000;1213    
   4.020;1211    
   4.040;1209    
   4.060;1207    
   4.080;1205    
   4.100;1201    
   4.120;1198    
   4.140;1195    
   4.160;1191    
   4.180;1187    
   4.200;1183    
   4.220;1176    
   4.240;1166    
   4.260;1161    

