deplacement (mm);charge (N)

       0;   2.903
 0.02000;   6.112
 0.04000;   8.099
 0.06000;  10.24 
 0.08000;  11.61 
  0.1000;  12.99 
  0.1200;  13.75 
  0.1400;  15.74 
  0.1600;  17.57 
  0.1800;  19.10 
  0.2000;  21.70 
  0.2200;  23.84 
  0.2400;  25.37 
  0.2600;  27.51 
  0.2800;  28.88 
  0.3000;  30.10 
  0.3200;  30.72 
  0.3400;  31.78 
  0.3600;  31.78 
  0.3800;  31.78 
  0.4000;  31.78 
  0.4200;  31.94 
  0.4400;  32.09 
  0.4600;  32.70 
  0.4800;  33.31 
  0.5000;  34.69 
  0.5200;  34.38 
  0.5400;  34.99 
  0.5600;  35.15 
  0.5800;  36.06 
  0.6000;  37.13 
  0.6200;  38.20 
  0.6400;  40.04 
  0.6600;  42.94 
  0.6800;  44.93 
  0.7000;  47.07 
  0.7200;  49.21 
  0.7400;  50.58 
  0.7600;  52.57 
  0.7800;  54.40 
  0.8000;  56.69 
  0.8200;  58.37 
  0.8400;  60.82 
  0.8600;  62.35 
  0.8800;  64.64 
  0.9000;  66.78 
  0.9200;  68.92 
  0.9400;  70.60 
  0.9600;  72.59 
  0.9800;  73.96 
   1.000;  76.10 
   1.020;  77.32 
   1.040;  79.31 
   1.060;  81.30 
   1.080;  83.59 
   1.100;  85.57 
   1.120;  87.71 
   1.140;  89.70 
   1.160;  92.76 
   1.180;  95.35 
   1.200;  97.49 
   1.220;  99.94 
   1.240; 102.7  
   1.260; 105.6  
   1.280; 108.0  
   1.300; 110.6  
   1.320; 113.4  
   1.340; 116.9  
   1.360; 119.3  
   1.380; 122.6  
   1.400; 125.3  
   1.420; 128.4  
   1.440; 131.0  
   1.460; 134.3  
   1.480; 137.1  
   1.500; 140.1  
   1.520; 142.7  
   1.540; 146.2  
   1.560; 149.8  
   1.580; 153.3  
   1.600; 157.2  
   1.620; 161.2  
   1.640; 164.7  
   1.660; 168.9  
   1.680; 172.8  
   1.700; 177.3  
   1.720; 181.4  
   1.740; 186.1  
   1.760; 190.6  
   1.780; 194.4  
   1.800; 199.1  
   1.820; 203.4  
   1.840; 208.1  
   1.860; 212.7  
   1.880; 217.5  
   1.900; 222.0  
   1.920; 226.9  
   1.940; 231.8  
   1.960; 236.6  
   1.980; 241.4  
   2.000; 246.8  
   2.020; 251.5  
   2.040; 256.9  
   2.060; 262.1  
   2.080; 267.3  
   2.100; 272.6  
   2.120; 278.6  
   2.140; 283.6  
   2.160; 288.8  
   2.180; 294.0  
   2.200; 299.5  
   2.220; 305.2  
   2.240; 310.8  
   2.260; 316.5  
   2.280; 322.4  
   2.300; 328.1  
   2.320; 333.7  
   2.340; 339.7  
   2.360; 344.9  
   2.380; 351.0  
   2.400; 357.0  
   2.420; 363.1  
   2.440; 368.6  
   2.460; 374.8  
   2.480; 380.7  
   2.500; 386.8  
   2.520; 392.6  
   2.540; 398.5  
   2.560; 404.8  
   2.580; 410.8  
   2.600; 416.7  
   2.620; 423.1  
   2.640; 429.2  
   2.660; 435.2  
   2.680; 441.6  
   2.700; 447.7  
   2.720; 454.2  
   2.740; 460.1  
   2.760; 466.5  
   2.780; 472.6  
   2.800; 479.2  
   2.820; 485.6  
   2.840; 492.2  
   2.860; 497.6  
   2.880; 504.3  
   2.900; 510.4  
   2.920; 517.0  
   2.940; 522.9  
   2.960; 529.6  
   2.980; 535.6  
   3.000; 542.0  
   3.020; 548.3  
   3.040; 554.4  
   3.060; 560.5  
   3.080; 567.2  
   3.100; 573.0  
   3.120; 579.6  
   3.140; 585.6  
   3.160; 591.5  
   3.180; 598.1  
   3.200; 603.9  
   3.220; 609.7  
   3.240; 615.4  
   3.260; 621.5  
   3.280; 627.8  
   3.300; 633.7  
   3.320; 639.7  
   3.340; 645.9  
   3.360; 651.6  
   3.380; 657.5  
   3.400; 663.2  
   3.420; 669.0  
   3.440; 674.7  
   3.460; 680.6  
   3.480; 686.0  
   3.500; 691.6  
   3.520; 696.8  
   3.540; 702.5  
   3.560; 707.5  
   3.580; 713.3  
   3.600; 718.4  
   3.620; 723.3  
   3.640; 728.5  
   3.660; 733.2  
   3.680; 738.1  
   3.700; 743.0  
   3.720; 747.1  
   3.740; 751.8  
   3.760; 756.0  
   3.780; 760.5  
   3.800; 763.6  
   3.820; 767.7  
   3.840; 770.9  
   3.860; 774.4  
   3.880; 777.2  
   3.900; 780.0  
   3.920; 782.2  
   3.940; 783.5  
   3.960; 784.8  
   3.980; 785.3  
   4.000; 785.3  
   4.020; 783.9  
   4.040; 783.0  
   4.060; 780.6  
   4.080; 778.6  
   4.100; 775.2  
   4.120; 771.1  
   4.140; 766.5  
   4.160; 760.8  
   4.180; 755.3  
   4.200; 748.6  
   4.220; 742.2  
   4.240; 734.4  
   4.260; 724.3  
   4.280; 706.6  
   4.300; 695.4  

