deplacement (mm)	charge (N)

       0	   1.222
 0.02000	   3.820
 0.04000	   6.112
 0.06000	   7.488
 0.08000	   9.933
  0.1000	  11.31 
  0.1200	  13.75 
  0.1400	  16.05 
  0.1600	  18.64 
  0.1800	  20.02 
  0.2000	  22.00 
  0.2200	  23.53 
  0.2400	  25.67 
  0.2600	  27.05 
  0.2800	  28.27 
  0.3000	  28.58 
  0.3200	  29.03 
  0.3400	  29.80 
  0.3600	  30.72 
  0.3800	  30.87 
  0.4000	  31.02 
  0.4200	  31.33 
  0.4400	  32.40 
  0.4600	  33.01 
  0.4800	  33.31 
  0.5000	  33.47 
  0.5200	  33.62 
  0.5400	  34.08 
  0.5600	  35.45 
  0.5800	  36.37 
  0.6000	  37.90 
  0.6200	  39.88 
  0.6400	  40.65 
  0.6600	  42.79 
  0.6800	  44.47 
  0.7000	  45.84 
  0.7200	  47.98 
  0.7400	  50.12 
  0.7600	  51.04 
  0.7800	  53.64 
  0.8000	  55.17 
  0.8200	  57.15 
  0.8400	  58.22 
  0.8600	  59.90 
  0.8800	  61.89 
  0.9000	  63.57 
  0.9200	  64.94 
  0.9400	  66.93 
  0.9600	  68.15 
  0.9800	  69.83 
   1.000	  71.67 
   1.020	  72.74 
   1.040	  74.72 
   1.060	  75.95 
   1.080	  78.85 
   1.100	  81.60 
   1.120	  84.50 
   1.140	  86.95 
   1.160	  89.70 
   1.180	  91.99 
   1.200	  94.44 
   1.220	  96.88 
   1.240	  99.17 
   1.260	 101.5  
   1.280	 103.8  
   1.300	 105.7  
   1.320	 108.0  
   1.340	 109.3  
   1.360	 111.4  
   1.380	 113.7  
   1.400	 116.0  
   1.420	 118.3  
   1.440	 120.9  
   1.460	 122.7  
   1.480	 125.2  
   1.500	 127.4  
   1.520	 129.9  
   1.540	 132.5  
   1.560	 134.9  
   1.580	 137.8  
   1.600	 140.4  
   1.620	 143.0  
   1.640	 145.5  
   1.660	 147.9  
   1.680	 150.4  
   1.700	 153.0  
   1.720	 155.7  
   1.740	 159.1  
   1.760	 162.0  
   1.780	 165.3  
   1.800	 168.4  
   1.820	 172.2  
   1.840	 175.4  
   1.860	 179.4  
   1.880	 182.5  
   1.900	 186.7  
   1.920	 190.1  
   1.940	 194.5  
   1.960	 197.7  
   1.980	 202.0  
   2.000	 206.1  
   2.020	 209.7  
   2.040	 213.9  
   2.060	 218.2  
   2.080	 222.3  
   2.100	 226.3  
   2.120	 230.7  
   2.140	 234.9  
   2.160	 239.5  
   2.180	 243.6  
   2.200	 248.3  
   2.220	 252.3  
   2.240	 256.9  
   2.260	 261.3  
   2.280	 266.2  
   2.300	 270.3  
   2.320	 275.1  
   2.340	 279.5  
   2.360	 284.2  
   2.380	 288.4  
   2.400	 293.4  
   2.420	 298.0  
   2.440	 302.6  
   2.460	 307.2  
   2.480	 311.6  
   2.500	 316.8  
   2.520	 321.5  
   2.540	 325.9  
   2.560	 330.8  
   2.580	 335.7  
   2.600	 340.0  
   2.620	 345.0  
   2.640	 349.9  
   2.660	 355.0  
   2.680	 359.4  
   2.700	 364.3  
   2.720	 368.7  
   2.740	 374.5  
   2.760	 378.7  
   2.780	 383.9  
   2.800	 388.4  
   2.820	 393.5  
   2.840	 398.2  
   2.860	 403.1  
   2.880	 408.0  
   2.900	 412.7  
   2.920	 417.6  
   2.940	 422.5  
   2.960	 427.3  
   2.980	 432.2  
   3.000	 437.0  
   3.020	 442.1  
   3.040	 447.0  
   3.060	 451.6  
   3.080	 456.0  
   3.100	 461.2  
   3.120	 466.2  
   3.140	 470.4  
   3.160	 475.6  
   3.180	 480.4  
   3.200	 484.9  
   3.220	 489.5  
   3.240	 494.5  
   3.260	 498.9  
   3.280	 503.7  
   3.300	 507.8  
   3.320	 512.7  
   3.340	 517.1  
   3.360	 521.7  
   3.380	 526.3  
   3.400	 531.3  
   3.420	 535.6  
   3.440	 539.9  
   3.460	 544.3  
   3.480	 548.9  
   3.500	 553.0  
   3.520	 557.5  
   3.540	 561.3  
   3.560	 565.7  
   3.580	 570.3  
   3.600	 574.3  
   3.620	 578.4  
   3.640	 582.4  
   3.660	 586.9  
   3.680	 590.8  
   3.700	 595.0  
   3.720	 598.6  
   3.740	 602.8  
   3.760	 606.8  
   3.780	 610.2  
   3.800	 613.8  
   3.820	 617.5  
   3.840	 621.3  
   3.860	 625.2  
   3.880	 629.0  
   3.900	 632.3  
   3.920	 636.0  
   3.940	 639.5  
   3.960	 642.9  
   3.980	 646.2  
   4.000	 649.4  
   4.020	 652.7  
   4.040	 656.0  
   4.060	 658.9  
   4.080	 661.8  
   4.100	 664.9  
   4.120	 667.8  
   4.140	 670.4  
   4.160	 673.3  
   4.180	 675.3  
   4.200	 677.4  
   4.220	 679.2  
   4.240	 681.5  
   4.260	 683.1  
   4.280	 685.1  
   4.300	 686.0  
   4.320	 686.7  
   4.340	 687.7  
   4.360	 688.4  
   4.380	 688.4  
   4.400	 688.6  
   4.420	 688.4  
   4.440	 688.4  
   4.460	 688.1  
   4.480	 687.0  
   4.500	 686.4  
   4.520	 686.0  
   4.540	 684.4  
   4.560	 683.5  
   4.580	 682.0  
   4.600	 680.9  
   4.620	 679.6  
   4.640	 677.4  
   4.660	 676.2  
   4.680	 674.2  
   4.700	 673.0  
   4.720	 671.3  
   4.740	 669.6  
   4.760	 667.6  
   4.780	 666.3  
   4.800	 663.8  
   4.820	 661.8  
   4.840	 659.7  
   4.860	 657.4  
   4.880	 655.3  
   4.900	 653.1  
   4.920	 650.2  
   4.940	 647.9  
   4.960	 645.2  
   4.980	 642.4  
   5.000	 639.2  
   5.020	 636.2  
   5.040	 632.5  
   5.060	 627.9  
   5.080	 623.5  
   5.100	 618.7  
   5.120	 614.5  
   5.140	 609.3  
   5.160	 606.1  
   5.180	 601.3  
   5.200	 597.0  
   5.220	 591.8  
   5.240	 586.9  
   5.260	 580.2  
   5.280	 574.4  
   5.300	 566.8  
   5.320	 558.4  
   5.340	 548.4  
   5.360	 537.1  
   5.380	 522.9  
   5.400	 507.8  
   5.420	 490.2  
   5.440	 435.8  
   5.460	 403.3  
   5.480	 392.0  
   5.500	 385.8  
   5.520	 381.3  
   5.540	 374.4  
   5.560	 366.4  
   5.580	 350.1  
   5.600	 326.4  
   5.620	 299.5  
   5.640	 290.2  

