deplacement (mm)	charge (N)

       0	  0.9169
 0.02000	   5.501
 0.04000	   7.946
 0.06000	   9.474
 0.08000	  10.70 
  0.1000	  12.53 
  0.1200	  13.45 
  0.1400	  15.43 
  0.1600	  17.11 
  0.1800	  18.95 
  0.2000	  20.17 
  0.2200	  22.46 
  0.2400	  23.23 
  0.2600	  25.83 
  0.2800	  27.35 
  0.3000	  27.66 
  0.3200	  27.35 
  0.3400	  27.51 
  0.3600	  27.51 
  0.3800	  27.66 
  0.4000	  27.51 
  0.4200	  27.96 
  0.4400	  27.81 
  0.4600	  28.88 
  0.4800	  29.80 
  0.5000	  29.95 
  0.5200	  30.10 
  0.5400	  30.26 
  0.5600	  31.48 
  0.5800	  31.94 
  0.6000	  32.24 
  0.6200	  32.24 
  0.6400	  33.92 
  0.6600	  36.06 
  0.6800	  38.20 
  0.7000	  39.88 
  0.7200	  42.02 
  0.7400	  43.40 
  0.7600	  44.93 
  0.7800	  46.61 
  0.8000	  48.44 
  0.8200	  49.82 
  0.8400	  51.96 
  0.8600	  53.18 
  0.8800	  55.17 
  0.9000	  57.00 
  0.9200	  59.14 
  0.9400	  60.97 
  0.9600	  62.65 
  0.9800	  64.49 
   1.000	  66.78 
   1.020	  68.61 
   1.040	  70.29 
   1.060	  72.13 
   1.080	  74.27 
   1.100	  76.71 
   1.120	  80.23 
   1.140	  83.13 
   1.160	  85.57 
   1.180	  88.48 
   1.200	  91.23 
   1.220	  93.83 
   1.240	  95.97 
   1.260	  99.02 
   1.280	 101.3  
   1.300	 103.9  
   1.320	 106.4  
   1.340	 109.1  
   1.360	 111.4  
   1.380	 114.2  
   1.400	 117.1  
   1.420	 120.0  
   1.440	 123.0  
   1.460	 126.2  
   1.480	 129.6  
   1.500	 132.6  
   1.520	 136.3  
   1.540	 140.1  
   1.560	 143.0  
   1.580	 147.0  
   1.600	 149.9  
   1.620	 154.5  
   1.640	 159.2  
   1.660	 163.8  
   1.680	 169.0  
   1.700	 174.1  
   1.720	 179.1  
   1.740	 184.4  
   1.760	 189.9  
   1.780	 195.1  
   1.800	 200.6  
   1.820	 206.0  
   1.840	 212.4  
   1.860	 217.9  
   1.880	 224.0  
   1.900	 230.1  
   1.920	 236.4  
   1.940	 242.5  
   1.960	 249.4  
   1.980	 256.1  
   2.000	 262.5  
   2.020	 269.4  
   2.040	 276.7  
   2.060	 283.8  
   2.080	 291.1  
   2.100	 298.4  
   2.120	 305.6  
   2.140	 313.1  
   2.160	 320.4  
   2.180	 328.2  
   2.200	 336.0  
   2.220	 343.7  
   2.240	 351.6  
   2.260	 359.6  
   2.280	 367.4  
   2.300	 375.9  
   2.320	 383.6  
   2.340	 392.1  
   2.360	 400.1  
   2.380	 408.5  
   2.400	 416.7  
   2.420	 425.4  
   2.440	 434.0  
   2.460	 442.4  
   2.480	 451.3  
   2.500	 459.5  
   2.520	 468.4  
   2.540	 476.9  
   2.560	 486.1  
   2.580	 495.0  
   2.600	 503.8  
   2.620	 513.0  
   2.640	 522.2  
   2.660	 531.0  
   2.680	 540.5  
   2.700	 549.4  
   2.720	 558.7  
   2.740	 567.4  
   2.760	 577.0  
   2.780	 586.3  
   2.800	 595.7  
   2.820	 604.4  
   2.840	 613.5  
   2.860	 622.7  
   2.880	 632.5  
   2.900	 641.8  
   2.920	 651.1  
   2.940	 660.9  
   2.960	 670.8  
   2.980	 679.9  
   3.000	 689.5  
   3.020	 699.0  
   3.040	 708.9  
   3.060	 718.5  
   3.080	 728.3  
   3.100	 738.1  
   3.120	 747.7  
   3.140	 757.6  
   3.160	 767.0  
   3.180	 776.9  
   3.200	 786.7  
   3.220	 796.3  
   3.240	 806.2  
   3.260	 816.2  
   3.280	 825.9  
   3.300	 836.3  
   3.320	 846.0  
   3.340	 856.2  
   3.360	 866.1  
   3.380	 875.6  
   3.400	 885.8  
   3.420	 896.2  
   3.440	 906.0  
   3.460	 916.3  
   3.480	 926.3  
   3.500	 936.3  
   3.520	 946.1  
   3.540	 956.6  
   3.560	 966.7  
   3.580	 977.2  
   3.600	 987.3  
   3.620	 997.6  
   3.640	1007    
   3.660	1018    
   3.680	1029    
   3.700	1039    
   3.720	1049    
   3.740	1059    
   3.760	1070    
   3.780	1080    
   3.800	1090    
   3.820	1100    
   3.840	1110    
   3.860	1120    
   3.880	1131    
   3.900	1141    
   3.920	1151    
   3.940	1161    
   3.960	1172    
   3.980	1182    
   4.000	1192    
   4.020	1202    
   4.040	1213    
   4.060	1222    
   4.080	1233    
   4.100	1244    
   4.120	1255    
   4.140	1264    
   4.160	1274    
   4.180	1284    
   4.200	1294    
   4.220	1304    
   4.240	1313    
   4.260	1323    
   4.280	1331    
   4.300	1339    
   4.320	1347    
   4.340	1354    
   4.360	1358    
   4.380	1346    
   4.400	1341    

