deplacement (mm);charge (N)
;
0;  0.7641
 0.02000;   1.681
 0.04000;   2.751
 0.06000;   3.973
 0.08000;   5.501
  0.1000;   7.029
  0.1200;   8.710
  0.1400;  10.39 
  0.1600;  12.22 
  0.1800;  14.06 
  0.2000;  16.05 
  0.2200;  18.18 
  0.2400;  19.87 
  0.2600;  21.70 
  0.2800;  23.38 
  0.3000;  25.06 
  0.3200;  26.59 
  0.3400;  27.81 
  0.3600;  29.49 
  0.3800;  30.87 
  0.4000;  32.55 
  0.4200;  34.08 
  0.4400;  35.91 
  0.4600;  37.59 
  0.4800;  39.12 
  0.5000;  41.11 
  0.5200;  42.94 
  0.5400;  44.77 
  0.5600;  46.61 
  0.5800;  48.59 
  0.6000;  50.43 
  0.6200;  52.26 
  0.6400;  53.94 
  0.6600;  55.78 
  0.6800;  57.30 
  0.7000;  58.99 
  0.7200;  60.97 
  0.7400;  62.65 
  0.7600;  64.49 
  0.7800;  66.63 
  0.8000;  68.46 
  0.8200;  70.45 
  0.8400;  72.28 
  0.8600;  74.27 
  0.8800;  76.25 
  0.9000;  78.09 
  0.9200;  80.38 
  0.9400;  82.67 
  0.9600;  84.66 
  0.9800;  87.10 
   1.000;  89.70 
   1.020;  91.84 
   1.040;  94.44 
   1.060;  96.73 
   1.080;  99.48 
   1.100; 102.1  
   1.120; 104.7  
   1.140; 107.3  
   1.160; 110.2  
   1.180; 113.2  
   1.200; 116.1  
   1.220; 118.9  
   1.240; 121.8  
   1.260; 124.7  
   1.280; 127.9  
   1.300; 131.3  
   1.320; 134.6  
   1.340; 137.7  
   1.360; 140.9  
   1.380; 144.1  
   1.400; 147.6  
   1.420; 150.8  
   1.440; 154.2  
   1.460; 158.0  
   1.480; 161.5  
   1.500; 165.0  
   1.520; 168.7  
   1.540; 172.4  
   1.560; 176.3  
   1.580; 180.2  
   1.600; 183.8  
   1.620; 187.8  
   1.640; 191.8  
   1.660; 195.6  
   1.680; 199.6  
   1.700; 203.7  
   1.720; 207.7  
   1.740; 212.1  
   1.760; 216.1  
   1.780; 220.4  
   1.800; 224.8  
   1.820; 228.9  
   1.840; 233.0  
   1.860; 237.5  
   1.880; 242.4  
   1.900; 246.6  
   1.920; 251.2  
   1.940; 255.7  
   1.960; 260.5  
   1.980; 265.1  
   2.000; 269.6  
   2.020; 274.3  
   2.040; 278.9  
   2.060; 283.9  
   2.080; 288.8  
   2.100; 293.4  
   2.120; 298.1  
   2.140; 303.5  
   2.160; 308.5  
   2.180; 313.6  
   2.200; 318.6  
   2.220; 324.0  
   2.240; 328.9  
   2.260; 334.2  
   2.280; 339.2  
   2.300; 344.3  
   2.320; 349.2  
   2.340; 354.2  
   2.360; 359.6  
   2.380; 364.6  
   2.400; 369.8  
   2.420; 375.0  
   2.440; 380.7  
   2.460; 385.8  
   2.480; 390.9  
   2.500; 396.2  
   2.520; 401.3  
   2.540; 406.5  
   2.560; 412.1  
   2.580; 417.5  
   2.600; 422.8  
   2.620; 428.5  
   2.640; 433.8  
   2.660; 439.2  
   2.680; 444.5  
   2.700; 450.0  
   2.720; 455.5  
   2.740; 461.3  
   2.760; 466.8  
   2.780; 472.3  
   2.800; 478.1  
   2.820; 483.5  
   2.840; 489.0  
   2.860; 494.7  
   2.880; 500.5  
   2.900; 506.6  
   2.920; 511.9  
   2.940; 518.0  
   2.960; 523.7  
   2.980; 529.2  
   3.000; 534.8  
   3.020; 540.8  
   3.040; 547.1  
   3.060; 552.9  
   3.080; 558.4  
   3.100; 564.6  
   3.120; 570.4  
   3.140; 576.7  
   3.160; 582.4  
   3.180; 588.0  
   3.200; 594.0  
   3.220; 599.9  
   3.240; 606.4  
   3.260; 612.0  
   3.280; 617.8  
   3.300; 623.6  
   3.320; 629.6  
   3.340; 635.4  
   3.360; 641.4  
   3.380; 647.3  
   3.400; 653.7  
   3.420; 659.4  
   3.440; 665.2  
   3.460; 671.5  
   3.480; 677.6  
   3.500; 683.5  
   3.520; 689.9  
   3.540; 696.2  
   3.560; 702.2  
   3.580; 708.1  
   3.600; 714.2  
   3.620; 720.2  
   3.640; 726.2  
   3.660; 732.1  
   3.680; 738.5  
   3.700; 744.5  
   3.720; 750.6  
   3.740; 757.2  
   3.760; 763.3  
   3.780; 769.4  
   3.800; 775.2  
   3.820; 781.8  
   3.840; 787.7  
   3.860; 794.0  
   3.880; 799.8  
   3.900; 806.4  
   3.920; 812.5  
   3.940; 818.6  
   3.960; 824.7  
   3.980; 831.3  
   4.000; 837.3  
   4.020; 843.8  
   4.040; 849.9  
   4.060; 855.9  
   4.080; 862.0  
   4.100; 868.3  
   4.120; 874.2  
   4.140; 880.2  
   4.160; 886.3  
   4.180; 892.7  
   4.200; 898.7  
   4.220; 904.5  
   4.240; 910.5  
   4.260; 916.7  
   4.280; 922.7  
   4.300; 929.1  
   4.320; 935.1  
   4.340; 940.7  
   4.360; 946.7  
   4.380; 952.9  
   4.400; 958.7  
   4.420; 965.0  
   4.440; 970.8  
   4.460; 976.5  
   4.480; 982.1  
   4.500; 988.2  
   4.520; 993.9  
   4.540; 999.8  
   4.560;1006
   4.580;1012
   4.600;1017
   4.620;1023
   4.640;1029
   4.660;1035
   4.680;1040
   4.700;1046
   4.720;1052
   4.740;1057
   4.760;1063
   4.780;1069
   4.800;1074
   4.820;1080
   4.840;1085
   4.860;1091
   4.880;1097
   4.900;1102
   4.920;1107
   4.940;1113
   4.960;1118
   4.980;1123
   5.000;1128
   5.020;1134
   5.040;1138
   5.060;1143
   5.080;1149
   5.100;1153
   5.120;1158
   5.140;1163
   5.160;1168
   5.180;1173
   5.200;1177
   5.220;1181
   5.240;1183
   5.260;1184
   5.280;1181
