deplacement (mm);charge (N)

       0;  0.3056
 0.02000;   1.834
 0.04000;   2.139
 0.06000;   2.445
 0.08000;   4.126
  0.1000;   6.571
  0.1200;   8.710
  0.1400;  11.16 
  0.1600;  13.14 
  0.1800;  15.74 
  0.2000;  18.03 
  0.2200;  20.78 
  0.2400;  23.38 
  0.2600;  25.98 
  0.2800;  28.58 
  0.3000;  31.78 
  0.3200;  34.54 
  0.3400;  36.98 
  0.3600;  39.58 
  0.3800;  42.02 
  0.4000;  44.01 
  0.4200;  45.54 
  0.4400;  47.68 
  0.4600;  49.51 
  0.4800;  51.80 
  0.5000;  53.79 
  0.5200;  56.23 
  0.5400;  58.68 
  0.5600;  60.97 
  0.5800;  63.26 
  0.6000;  65.56 
  0.6200;  67.70 
  0.6400;  69.83 
  0.6600;  71.97 
  0.6800;  74.42 
  0.7000;  76.10 
  0.7200;  78.70 
  0.7400;  80.53 
  0.7600;  82.67 
  0.7800;  84.50 
  0.8000;  86.80 
  0.8200;  89.24 
  0.8400;  91.69 
  0.8600;  94.28 
  0.8800;  96.27 
  0.9000;  98.87 
  0.9200; 101.2  
  0.9400; 104.1  
  0.9600; 106.7  
  0.9800; 109.7  
   1.000; 112.5  
   1.020; 115.5  
   1.040; 118.4  
   1.060; 121.9  
   1.080; 125.3  
   1.100; 129.1  
   1.120; 132.5  
   1.140; 136.2  
   1.160; 140.0  
   1.180; 144.1  
   1.200; 147.8  
   1.220; 151.4  
   1.240; 155.9  
   1.260; 159.8  
   1.280; 164.0  
   1.300; 168.4  
   1.320; 173.1  
   1.340; 177.4  
   1.360; 181.7  
   1.380; 186.3  
   1.400; 191.0  
   1.420; 195.4  
   1.440; 200.3  
   1.460; 205.1  
   1.480; 210.0  
   1.500; 214.7  
   1.520; 219.6  
   1.540; 224.3  
   1.560; 229.1  
   1.580; 234.0  
   1.600; 239.0  
   1.620; 244.0  
   1.640; 249.1  
   1.660; 254.1  
   1.680; 259.0  
   1.700; 264.1  
   1.720; 268.9  
   1.740; 274.0  
   1.760; 279.0  
   1.780; 284.4  
   1.800; 290.0  
   1.820; 295.1  
   1.840; 300.3  
   1.860; 305.8  
   1.880; 311.1  
   1.900; 316.2  
   1.920; 321.5  
   1.940; 327.0  
   1.960; 332.5  
   1.980; 338.0  
   2.000; 343.5  
   2.020; 349.2  
   2.040; 354.4  
   2.060; 359.7  
   2.080; 365.5  
   2.100; 371.2  
   2.120; 376.5  
   2.140; 382.6  
   2.160; 387.8  
   2.180; 393.8  
   2.200; 399.4  
   2.220; 404.8  
   2.240; 410.3  
   2.260; 416.0  
   2.280; 421.5  
   2.300; 427.3  
   2.320; 432.6  
   2.340; 438.4  
   2.360; 444.2  
   2.380; 450.0  
   2.400; 455.8  
   2.420; 461.3  
   2.440; 466.8  
   2.460; 473.1  
   2.480; 478.9  
   2.500; 484.7  
   2.520; 490.2  
   2.540; 496.0  
   2.560; 502.1  
   2.580; 507.8  
   2.600; 513.4  
   2.620; 519.4  
   2.640; 525.4  
   2.660; 531.0  
   2.680; 537.1  
   2.700; 542.9  
   2.720; 548.9  
   2.740; 554.6  
   2.760; 560.5  
   2.780; 566.3  
   2.800; 572.0  
   2.820; 577.3  
   2.840; 583.3  
   2.860; 588.9  
   2.880; 594.7  
   2.900; 600.6  
   2.920; 606.2  
   2.940; 612.3  
   2.960; 618.1  
   2.980; 623.9  
   3.000; 629.7  
   3.020; 635.5  
   3.040; 641.4  
   3.060; 647.2  
   3.080; 652.8  
   3.100; 658.9  
   3.120; 664.4  
   3.140; 670.5  
   3.160; 676.0  
   3.180; 681.8  
   3.200; 687.3  
   3.220; 693.3  
   3.240; 698.7  
   3.260; 704.3  
   3.280; 709.4  
   3.300; 714.9  
   3.320; 719.9  
   3.340; 724.9  
   3.360; 729.4  
   3.380; 733.8  
   3.400; 738.5  
   3.420; 736.6  

