deplacement (mm);charge (N)
;
0;   1.375
 0.02000;   2.903
 0.04000;   4.584
 0.06000;   6.112
 0.08000;   7.641
  0.1000;   9.474
  0.1200;  11.00 
  0.1400;  12.68 
  0.1600;  14.36 
  0.1800;  16.05 
  0.2000;  17.57 
  0.2200;  19.25 
  0.2400;  21.39 
  0.2600;  23.23 
  0.2800;  25.06 
  0.3000;  26.89 
  0.3200;  28.73 
  0.3400;  30.10 
  0.3600;  31.94 
  0.3800;  33.62 
  0.4000;  35.76 
  0.4200;  37.59 
  0.4400;  39.27 
  0.4600;  41.11 
  0.4800;  42.63 
  0.5000;  44.32 
  0.5200;  46.00 
  0.5400;  47.52 
  0.5600;  49.05 
  0.5800;  51.04 
  0.6000;  52.87 
  0.6200;  54.71 
  0.6400;  56.39 
  0.6600;  58.22 
  0.6800;  60.21 
  0.7000;  62.19 
  0.7200;  64.33 
  0.7400;  66.78 
  0.7600;  69.07 
  0.7800;  71.67 
  0.8000;  74.11 
  0.8200;  77.02 
  0.8400;  79.46 
  0.8600;  81.91 
  0.8800;  84.50 
  0.9000;  87.10 
  0.9200;  89.85 
  0.9400;  92.91 
  0.9600;  95.81 
  0.9800;  98.87 
   1.000; 102.1  
   1.020; 105.0  
   1.040; 107.9  
   1.060; 111.2  
   1.080; 114.5  
   1.100; 117.8  
   1.120; 121.0  
   1.140; 124.2  
   1.160; 127.8  
   1.180; 131.1  
   1.200; 134.9  
   1.220; 138.3  
   1.240; 141.8  
   1.260; 145.3  
   1.280; 148.8  
   1.300; 152.7  
   1.320; 156.2  
   1.340; 159.7  
   1.360; 163.4  
   1.380; 167.2  
   1.400; 170.8  
   1.420; 174.5  
   1.440; 178.3  
   1.460; 182.0  
   1.480; 186.0  
   1.500; 189.6  
   1.520; 193.8  
   1.540; 197.6  
   1.560; 201.3  
   1.580; 205.2  
   1.600; 209.2  
   1.620; 213.5  
   1.640; 217.5  
   1.660; 221.4  
   1.680; 225.6  
   1.700; 229.5  
   1.720; 233.6  
   1.740; 238.1  
   1.760; 242.2  
   1.780; 246.9  
   1.800; 251.2  
   1.820; 255.5  
   1.840; 259.9  
   1.860; 264.4  
   1.880; 268.6  
   1.900; 272.9  
   1.920; 277.8  
   1.940; 282.4  
   1.960; 287.0  
   1.980; 291.7  
   2.000; 296.3  
   2.020; 300.9  
   2.040; 305.6  
   2.060; 310.5  
   2.080; 315.1  
   2.100; 319.8  
   2.120; 324.4  
   2.140; 329.5  
   2.160; 334.0  
   2.180; 338.8  
   2.200; 343.8  
   2.220; 348.6  
   2.240; 353.5  
   2.260; 358.5  
   2.280; 363.8  
   2.300; 368.4  
   2.320; 373.5  
   2.340; 378.7  
   2.360; 383.4  
   2.380; 388.3  
   2.400; 393.2  
   2.420; 398.5  
   2.440; 403.7  
   2.460; 408.9  
   2.480; 413.8  
   2.500; 418.7  
   2.520; 423.6  
   2.540; 428.5  
   2.560; 433.8  
   2.580; 438.9  
   2.600; 443.9  
   2.620; 449.4  
   2.640; 454.5  
   2.660; 459.8  
   2.680; 464.9  
   2.700; 470.2  
   2.720; 475.4  
   2.740; 480.4  
   2.760; 485.9  
   2.780; 491.1  
   2.800; 496.8  
   2.820; 501.8  
   2.840; 506.6  
   2.860; 511.5  
   2.880; 516.4  
   2.900; 521.2  
   2.920; 526.6  
   2.940; 531.3  
   2.960; 536.8  
   2.980; 541.7  
   3.000; 546.6  
   3.020; 551.3  
   3.040; 557.2  
   3.060; 562.3  
   3.080; 567.5  
   3.100; 572.7  
   3.120; 578.1  
   3.140; 583.1  
   3.160; 588.5  
   3.180; 593.4  
   3.200; 598.7  
   3.220; 603.8  
   3.240; 608.6  
   3.260; 613.4  
   3.280; 618.7  
   3.300; 623.8  
   3.320; 628.8  
   3.340; 634.3  
   3.360; 639.4  
   3.380; 644.4  
   3.400; 649.4  
   3.420; 654.5  
   3.440; 660.1  
   3.460; 665.2  
   3.480; 670.1  
   3.500; 675.4  
   3.520; 680.2  
   3.540; 685.2  
   3.560; 690.3  
   3.580; 695.3  
   3.600; 700.5  
   3.620; 705.5  
   3.640; 710.9  
   3.660; 715.8  
   3.680; 720.7  
   3.700; 725.4  
   3.720; 730.7  
   3.740; 735.6  
   3.760; 740.5  
   3.780; 745.6  
   3.800; 750.8  
   3.820; 755.7  
   3.840; 760.2  
   3.860; 765.0  
   3.880; 769.9  
   3.900; 774.6  
   3.920; 779.3  
   3.940; 784.2  
   3.960; 789.3  
   3.980; 793.9  
   4.000; 798.4  
   4.020; 803.3  
   4.040; 807.8  
   4.060; 812.5  
   4.080; 817.1  
   4.100; 818.6  
   4.120; 820.4  
   4.140; 822.9  
   4.160; 825.9  
   4.180; 825.6  
