deplacement (mm);charge (N)
;
0;  0.3056
 0.02000;   1.375
 0.04000;   2.598
 0.06000;   3.973
 0.08000;   5.348
  0.1000;   6.571
  0.1200;   7.946
  0.1400;   9.474
  0.1600;  10.70 
  0.1800;  11.77 
  0.2000;  12.99 
  0.2200;  14.21 
  0.2400;  15.28 
  0.2600;  16.35 
  0.2800;  17.57 
  0.3000;  18.64 
  0.3200;  19.87 
  0.3400;  21.09 
  0.3600;  22.31 
  0.3800;  23.53 
  0.4000;  24.76 
  0.4200;  25.98 
  0.4400;  27.35 
  0.4600;  28.58 
  0.4800;  29.95 
  0.5000;  31.17 
  0.5200;  32.55 
  0.5400;  34.08 
  0.5600;  35.45 
  0.5800;  36.83 
  0.6000;  38.51 
  0.6200;  39.88 
  0.6400;  41.56 
  0.6600;  43.40 
  0.6800;  44.77 
  0.7000;  46.45 
  0.7200;  48.29 
  0.7400;  49.97 
  0.7600;  51.96 
  0.7800;  53.79 
  0.8000;  55.47 
  0.8200;  57.46 
  0.8400;  59.14 
  0.8600;  60.67 
  0.8800;  62.35 
  0.9000;  63.88 
  0.9200;  65.71 
  0.9400;  67.39 
  0.9600;  69.38 
  0.9800;  71.21 
   1.000;  73.35 
   1.020;  75.18 
   1.040;  77.32 
   1.060;  79.61 
   1.080;  81.75 
   1.100;  83.89 
   1.120;  86.19 
   1.140;  88.48 
   1.160;  90.92 
   1.180;  93.22 
   1.200;  95.51 
   1.220;  98.26 
   1.240; 100.7  
   1.260; 103.5  
   1.280; 105.9  
   1.300; 108.8  
   1.320; 111.4  
   1.340; 114.3  
   1.360; 116.6  
   1.380; 119.7  
   1.400; 122.6  
   1.420; 125.5  
   1.440; 128.1  
   1.460; 130.7  
   1.480; 133.6  
   1.500; 136.2  
   1.520; 139.4  
   1.540; 142.4  
   1.560; 145.3  
   1.580; 148.2  
   1.600; 151.3  
   1.620; 154.3  
   1.640; 157.2  
   1.660; 160.5  
   1.680; 163.7  
   1.700; 167.2  
   1.720; 170.4  
   1.740; 173.7  
   1.760; 177.3  
   1.780; 180.6  
   1.800; 184.0  
   1.820; 187.8  
   1.840; 191.2  
   1.860; 194.5  
   1.880; 198.0  
   1.900; 202.0  
   1.920; 205.5  
   1.940; 209.2  
   1.960; 212.9  
   1.980; 216.2  
   2.000; 220.0  
   2.020; 223.4  
   2.040; 226.9  
   2.060; 230.7  
   2.080; 234.3  
   2.100; 238.1  
   2.120; 241.6  
   2.140; 245.3  
   2.160; 248.6  
   2.180; 250.9  
   2.200; 253.4  
   2.220; 256.0  
   2.240; 258.7  
   2.260; 262.1  
   2.280; 265.4  
   2.300; 269.1  
   2.320; 272.6  
   2.340; 276.1  
   2.360; 279.3  
   2.380; 282.9  
   2.400; 286.8  
   2.420; 290.3  
   2.440; 293.9  
   2.460; 297.7  
   2.480; 301.2  
   2.500; 304.7  
   2.520; 307.8  
   2.540; 311.4  
   2.560; 315.1  
   2.580; 318.8  
   2.600; 322.0  
   2.620; 325.5  
   2.640; 329.0  
   2.660; 332.5  
   2.680; 336.3  
   2.700; 339.7  
   2.720; 343.4  
   2.740; 346.7  
   2.760; 350.4  
   2.780; 354.1  
   2.800; 357.6  
   2.820; 361.1  
   2.840; 364.9  
   2.860; 368.3  
   2.880; 371.9  
   2.900; 375.5  
   2.920; 379.1  
   2.940; 382.9  
   2.960; 386.6  
   2.980; 390.3  
   3.000; 394.4  
   3.020; 398.1  
   3.040; 401.6  
   3.060; 405.4  
   3.080; 409.2  
   3.100; 412.6  
   3.120; 416.6  
   3.140; 420.1  
   3.160; 423.4  
   3.180; 427.0  
   3.200; 430.2  
   3.220; 433.4  
   3.240; 436.9  
   3.260; 440.1  
   3.280; 443.2  
   3.300; 445.8  
   3.320; 448.2  
   3.340; 451.1  
   3.360; 453.7  
   3.380; 456.6  
   3.400; 459.7  
   3.420; 462.7  
   3.440; 465.8  
   3.460; 469.1  
   3.480; 472.2  
   3.500; 475.4  
   3.520; 478.8  
   3.540; 482.1  
   3.560; 485.8  
   3.580; 489.6  
   3.600; 493.3  
   3.620; 496.9  
   3.640; 501.1  
   3.660; 504.9  
   3.680; 508.6  
   3.700; 512.4  
   3.720; 516.5  
   3.740; 520.3  
   3.760; 523.8  
   3.780; 527.5  
   3.800; 531.6  
   3.820; 535.5  
   3.840; 539.3  
   3.860; 543.4  
   3.880; 547.4  
   3.900; 551.0  
   3.920; 554.7  
   3.940; 558.5  
   3.960; 562.2  
   3.980; 565.6  
   4.000; 569.1  
   4.020; 572.9  
   4.040; 577.0  
   4.060; 579.5  
   4.080; 580.7  
   4.100; 581.4  
   4.120; 583.1  
   4.140; 584.7  
   4.160; 586.9  
   4.180; 589.5  
   4.200; 592.3  
   4.220; 595.7  
   4.240; 598.9  
   4.260; 602.2  
   4.280; 606.1  
   4.300; 609.9  
   4.320; 613.7  
   4.340; 617.2  
   4.360; 621.0  
   4.380; 624.4  
   4.400; 627.6  
   4.420; 631.1  
   4.440; 634.8  
   4.460; 638.1  
   4.480; 641.8  
   4.500; 645.2  
   4.520; 648.4  
   4.540; 651.4  
   4.560; 654.0  
   4.580; 657.1  
   4.600; 660.1  
   4.620; 663.1  
   4.640; 666.0  
   4.660; 668.6  
   4.680; 671.8  
   4.700; 675.1  
   4.720; 678.2  
   4.740; 681.4  
   4.760; 684.7  
   4.780; 687.8  
   4.800; 691.2  
   4.820; 694.2  
   4.840; 697.6  
   4.860; 700.9  
   4.880; 704.0  
   4.900; 707.4  
   4.920; 709.7  
   4.940; 710.9  
   4.960; 712.3  
   4.980; 713.6  
   5.000; 715.5  
   5.020; 717.3  
   5.040; 719.3  
   5.060; 721.6  
   5.080; 724.2  
   5.100; 726.8  
   5.120; 729.7  
   5.140; 732.4  
   5.160; 735.5  
   5.180; 736.9  
   5.200; 738.2  
   5.220; 739.9  
   5.240; 741.7  
   5.260; 743.9  
   5.280; 746.2  
   5.300; 748.8  
   5.320; 751.4  
   5.340; 754.1  
   5.360; 756.9  
   5.380; 759.6  
   5.400; 762.7  
   5.420; 765.4  
   5.440; 768.3  
   5.460; 771.2  
   5.480; 774.4  
   5.500; 777.7  
   5.520; 780.7  
   5.540; 783.8  
   5.560; 786.7  
   5.580; 790.0  
   5.600; 792.9  
   5.620; 796.1  
   5.640; 799.1  
   5.660; 802.1  
   5.680; 805.0  
   5.700; 807.9  
   5.720; 810.8  
   5.740; 813.1  
   5.760; 816.0  
   5.780; 818.6  
   5.800; 820.9  
   5.820; 823.3  
   5.840; 825.6  
   5.860; 828.2  
   5.880; 830.5  
   5.900; 833.3  
   5.920; 835.4  
   5.940; 837.7  
   5.960; 840.2  
   5.980; 842.1  
   6.000; 843.8  
   6.020; 846.0  
   6.040; 848.0  
   6.060; 850.1  
   6.080; 852.1  
   6.100; 854.2  
   6.120; 856.4  
   6.140; 858.3  
   6.160; 860.6  
   6.180; 862.9  
   6.200; 865.2  
   6.220; 867.2  
   6.240; 869.0  
   6.260; 870.6  
   6.280; 871.6  
   6.300; 872.9  
   6.320; 874.4  
   6.340; 875.8  
   6.360; 877.3  
   6.380; 878.8  
   6.400; 879.4  
   6.420; 874.2  
