deplacement (mm);charge (N)
;
0;  0.3056
 0.02000;  0.6112
 0.04000;  0.9169
 0.06000;   1.222
 0.08000;   1.834
  0.1000;   2.292
  0.1200;   2.751
  0.1400;   3.515
  0.1600;   4.279
  0.1800;   5.196
  0.2000;   5.807
  0.2200;   6.724
  0.2400;   7.335
  0.2600;   7.793
  0.2800;   8.099
  0.3000;   8.863
  0.3200;   9.627
  0.3400;  10.54 
  0.3600;  11.61 
  0.3800;  12.22 
  0.4000;  12.99 
  0.4200;  14.06 
  0.4400;  14.82 
  0.4600;  15.74 
  0.4800;  16.66 
  0.5000;  17.27 
  0.5200;  18.18 
  0.5400;  19.10 
  0.5600;  20.32 
  0.5800;  21.24 
  0.6000;  22.00 
  0.6200;  23.07 
  0.6400;  24.14 
  0.6600;  25.21 
  0.6800;  26.13 
  0.7000;  27.05 
  0.7200;  27.96 
  0.7400;  28.88 
  0.7600;  30.10 
  0.7800;  31.02 
  0.8000;  31.94 
  0.8200;  33.16 
  0.8400;  33.92 
  0.8600;  34.69 
  0.8800;  35.61 
  0.9000;  36.67 
  0.9200;  37.90 
  0.9400;  39.43 
  0.9600;  40.50 
  0.9800;  41.72 
   1.000;  42.79 
   1.020;  44.16 
   1.040;  45.39 
   1.060;  46.91 
   1.080;  47.98 
   1.100;  49.51 
   1.120;  50.58 
   1.140;  51.80 
   1.160;  53.03 
   1.180;  54.40 
   1.200;  55.32 
   1.220;  56.69 
   1.240;  58.07 
   1.260;  59.60 
   1.280;  61.12 
   1.300;  62.35 
   1.320;  63.88 
   1.340;  65.25 
   1.360;  66.63 
   1.380;  68.00 
   1.400;  69.83 
   1.420;  71.36 
   1.440;  72.74 
   1.460;  74.11 
   1.480;  75.64 
   1.500;  77.17 
   1.520;  79.00 
   1.540;  80.53 
   1.560;  82.06 
   1.580;  83.74 
   1.600;  85.27 
   1.620;  86.95 
   1.640;  88.63 
   1.660;  90.31 
   1.680;  92.45 
   1.700;  94.13 
   1.720;  95.81 
   1.740;  97.80 
   1.760;  99.63 
   1.780; 101.5  
   1.800; 103.5  
   1.820; 105.3  
   1.840; 107.0  
   1.860; 109.1  
   1.880; 110.8  
   1.900; 112.8  
   1.920; 114.8  
   1.940; 116.9  
   1.960; 118.9  
   1.980; 120.7  
   2.000; 123.0  
   2.020; 125.2  
   2.040; 127.0  
   2.060; 129.3  
   2.080; 131.4  
   2.100; 133.4  
   2.120; 135.5  
   2.140; 138.0  
   2.160; 140.1  
   2.180; 142.3  
   2.200; 144.7  
   2.220; 147.0  
   2.240; 149.4  
   2.260; 151.9  
   2.280; 154.0  
   2.300; 156.2  
   2.320; 158.8  
   2.340; 161.1  
   2.360; 163.5  
   2.380; 166.1  
   2.400; 168.6  
   2.420; 170.8  
   2.440; 173.4  
   2.460; 175.9  
   2.480; 178.3  
   2.500; 180.9  
   2.520; 183.4  
   2.540; 186.0  
   2.560; 188.4  
   2.580; 191.2  
   2.600; 193.8  
   2.620; 196.2  
   2.640; 198.8  
   2.660; 201.6  
   2.680; 204.2  
   2.700; 206.6  
   2.720; 209.0  
   2.740; 211.8  
   2.760; 214.2  
   2.780; 217.1  
   2.800; 219.6  
   2.820; 222.2  
   2.840; 224.5  
   2.860; 227.2  
   2.880; 229.8  
   2.900; 232.4  
   2.920; 234.9  
   2.940; 237.6  
   2.960; 240.2  
   2.980; 242.7  
   3.000; 245.1  
   3.020; 247.9  
   3.040; 250.5  
   3.060; 253.1  
   3.080; 255.8  
   3.100; 258.3  
   3.120; 260.8  
   3.140; 263.3  
   3.160; 266.0  
   3.180; 268.8  
   3.200; 271.2  
   3.220; 273.7  
   3.240; 276.6  
   3.260; 279.0  
   3.280; 281.5  
   3.300; 283.9  
   3.320; 286.4  
   3.340; 288.8  
   3.360; 291.4  
   3.380; 293.7  
   3.400; 296.5  
   3.420; 298.7  
   3.440; 301.2  
   3.460; 303.6  
   3.480; 305.9  
   3.500; 308.2  
   3.520; 310.7  
   3.540; 313.3  
   3.560; 315.6  
   3.580; 317.8  
   3.600; 320.4  
   3.620; 322.7  
   3.640; 324.9  
   3.660; 327.2  
   3.680; 329.3  
   3.700; 331.8  
   3.720; 333.7  
   3.740; 336.0  
   3.760; 338.2  
   3.780; 340.3  
   3.800; 342.3  
   3.820; 344.7  
   3.840; 346.9  
   3.860; 349.0  
   3.880; 350.9  
   3.900; 353.1  
   3.920; 355.3  
   3.940; 357.1  
   3.960; 359.1  
   3.980; 361.4  
   4.000; 363.4  
   4.020; 365.4  
   4.040; 367.2  
   4.060; 369.5  
   4.080; 371.3  
   4.100; 373.3  
   4.120; 375.5  
   4.140; 377.3  
   4.160; 375.8  
   4.180; 373.3  
   4.200; 372.9  
   4.220; 372.9  
   4.240; 373.5  
   4.260; 374.5  
   4.280; 376.1  
   4.300; 378.1  
   4.320; 379.7  
   4.340; 381.6  
   4.360; 383.4  
   4.380; 384.9  
   4.400; 386.8  
   4.420; 388.4  
   4.440; 390.1  
   4.460; 391.7  
   4.480; 393.5  
   4.500; 394.9  
   4.520; 396.4  
   4.540; 397.8  
   4.560; 399.3  
   4.580; 400.8  
   4.600; 401.9  
   4.620; 403.1  
   4.640; 403.7  
   4.660; 403.4  
   4.680; 403.6  
   4.700; 403.9  
   4.720; 404.5  
   4.740; 405.4  
   4.760; 406.6  
   4.780; 407.5  
   4.800; 408.6  
   4.820; 409.7  
   4.840; 410.9  
   4.860; 412.1  
   4.880; 413.1  
   4.900; 414.3  
   4.920; 415.6  
   4.940; 416.7  
   4.960; 417.6  
   4.980; 418.7  
   5.000; 419.8  
   5.020; 420.5  
   5.040; 421.1  
   5.060; 422.2  
   5.080; 423.0  
   5.100; 424.1  
   5.120; 425.0  
   5.140; 425.6  
   5.160; 426.3  
   5.180; 427.3  
   5.200; 427.9  
   5.220; 428.3  
   5.240; 428.8  
   5.260; 429.7  
   5.280; 430.3  
   5.300; 430.8  
   5.320; 431.4  
   5.340; 432.0  
   5.360; 432.6  
   5.380; 433.1  
   5.400; 433.5  
   5.420; 433.7  
   5.440; 434.0  
   5.460; 434.1  
   5.480; 434.6  
   5.500; 434.9  
   5.520; 435.4  
   5.540; 435.7  
   5.560; 436.0  
   5.580; 436.1  
   5.600; 436.3  
   5.620; 436.4  
   5.640; 436.4  
   5.660; 436.3  
   5.680; 436.3  
   5.700; 436.1  
   5.720; 435.5  
   5.740; 434.9  
   5.760; 434.4  
   5.780; 433.7  
   5.800; 432.2  
   5.820; 430.6  
   5.840; 429.4  
   5.860; 427.9  
   5.880; 427.1  
   5.900; 426.3  
   5.920; 425.6  
   5.940; 424.8  
   5.960; 423.9  
   5.980; 423.3  
   6.000; 422.7  
   6.020; 422.2  
   6.040; 421.3  
   6.060; 420.5  
