deplacement (mm);charge (N)
;
0;  0.7641
 0.02000;   1.375
 0.04000;   2.139
 0.06000;   3.209
 0.08000;   4.126
  0.1000;   5.043
  0.1200;   5.654
  0.1400;   6.724
  0.1600;   7.793
  0.1800;   8.710
  0.2000;   9.780
  0.2200;  10.39 
  0.2400;  11.46 
  0.2600;  12.38 
  0.2800;  13.29 
  0.3000;  14.21 
  0.3200;  15.13 
  0.3400;  16.35 
  0.3600;  17.42 
  0.3800;  18.34 
  0.4000;  19.41 
  0.4200;  20.48 
  0.4400;  21.55 
  0.4600;  22.46 
  0.4800;  23.53 
  0.5000;  24.60 
  0.5200;  25.67 
  0.5400;  27.05 
  0.5600;  28.12 
  0.5800;  29.34 
  0.6000;  30.56 
  0.6200;  32.24 
  0.6400;  33.31 
  0.6600;  34.54 
  0.6800;  35.91 
  0.7000;  36.98 
  0.7200;  38.51 
  0.7400;  39.58 
  0.7600;  40.80 
  0.7800;  41.87 
  0.8000;  43.40 
  0.8200;  44.62 
  0.8400;  45.69 
  0.8600;  46.91 
  0.8800;  48.14 
  0.9000;  49.36 
  0.9200;  50.73 
  0.9400;  51.96 
  0.9600;  53.18 
  0.9800;  54.25 
   1.000;  55.62 
   1.020;  57.00 
   1.040;  58.37 
   1.060;  59.90 
   1.080;  61.28 
   1.100;  62.81 
   1.120;  64.33 
   1.140;  65.86 
   1.160;  67.54 
   1.180;  69.22 
   1.200;  70.75 
   1.220;  72.43 
   1.240;  74.11 
   1.260;  75.95 
   1.280;  77.78 
   1.300;  79.31 
   1.320;  81.14 
   1.340;  82.67 
   1.360;  84.35 
   1.380;  86.34 
   1.400;  88.17 
   1.420;  90.01 
   1.440;  91.99 
   1.460;  93.98 
   1.480;  95.66 
   1.500;  97.80 
   1.520;  99.63 
   1.540; 101.6  
   1.560; 103.6  
   1.580; 105.6  
   1.600; 107.3  
   1.620; 109.4  
   1.640; 111.4  
   1.660; 113.7  
   1.680; 115.7  
   1.700; 118.0  
   1.720; 120.0  
   1.740; 122.2  
   1.760; 124.4  
   1.780; 126.7  
   1.800; 128.8  
   1.820; 131.4  
   1.840; 133.6  
   1.860; 136.3  
   1.880; 138.6  
   1.900; 140.9  
   1.920; 143.3  
   1.940; 145.8  
   1.960; 148.4  
   1.980; 151.0  
   2.000; 153.6  
   2.020; 156.0  
   2.040; 158.5  
   2.060; 161.2  
   2.080; 163.8  
   2.100; 166.6  
   2.120; 169.2  
   2.140; 171.9  
   2.160; 174.5  
   2.180; 177.3  
   2.200; 180.5  
   2.220; 183.1  
   2.240; 185.8  
   2.260; 188.4  
   2.280; 191.3  
   2.300; 194.4  
   2.320; 196.8  
   2.340; 199.7  
   2.360; 202.8  
   2.380; 205.5  
   2.400; 208.6  
   2.420; 211.2  
   2.440; 214.4  
   2.460; 217.0  
   2.480; 219.9  
   2.500; 222.6  
   2.520; 225.4  
   2.540; 228.1  
   2.560; 231.2  
   2.580; 234.0  
   2.600; 236.7  
   2.620; 239.5  
   2.640; 242.5  
   2.660; 245.6  
   2.680; 248.5  
   2.700; 251.2  
   2.720; 254.3  
   2.740; 257.2  
   2.760; 259.9  
   2.780; 262.8  
   2.800; 265.7  
   2.820; 268.6  
   2.840; 271.7  
   2.860; 274.8  
   2.880; 277.8  
   2.900; 280.6  
   2.920; 283.5  
   2.940; 286.5  
   2.960; 289.4  
   2.980; 292.3  
   3.000; 295.2  
   3.020; 298.0  
   3.040; 301.0  
   3.060; 303.9  
   3.080; 306.7  
   3.100; 309.4  
   3.120; 312.3  
   3.140; 315.3  
   3.160; 318.5  
   3.180; 321.2  
   3.200; 324.3  
   3.220; 327.2  
   3.240; 330.1  
   3.260; 332.8  
   3.280; 335.4  
   3.300; 338.2  
   3.320; 340.8  
   3.340; 343.8  
   3.360; 346.6  
   3.380; 349.6  
   3.400; 352.4  
   3.420; 355.1  
   3.440; 357.7  
   3.460; 360.5  
   3.480; 363.4  
   3.500; 366.3  
   3.520; 368.7  
   3.540; 371.6  
   3.560; 374.2  
   3.580; 377.0  
   3.600; 379.6  
   3.620; 382.2  
   3.640; 384.8  
   3.660; 387.4  
   3.680; 390.1  
   3.700; 392.7  
   3.720; 395.6  
   3.740; 398.1  
   3.760; 400.8  
   3.780; 403.4  
   3.800; 406.0  
   3.820; 408.8  
   3.840; 411.5  
   3.860; 414.1  
   3.880; 416.7  
   3.900; 419.3  
   3.920; 421.8  
   3.940; 424.4  
   3.960; 427.0  
   3.980; 429.4  
   4.000; 431.8  
   4.020; 434.6  
   4.040; 437.2  
   4.060; 439.6  
   4.080; 442.2  
   4.100; 444.5  
   4.120; 447.1  
   4.140; 449.4  
   4.160; 452.0  
   4.180; 454.5  
   4.200; 456.9  
   4.220; 459.2  
   4.240; 461.5  
   4.260; 463.9  
   4.280; 466.4  
   4.300; 468.7  
   4.320; 471.0  
   4.340; 473.4  
   4.360; 475.6  
   4.380; 477.8  
   4.400; 480.0  
   4.420; 482.4  
   4.440; 484.7  
   4.460; 486.6  
   4.480; 489.0  
   4.500; 491.3  
   4.520; 493.3  
   4.540; 495.6  
   4.560; 497.6  
   4.580; 499.8  
   4.600; 501.8  
   4.620; 503.5  
   4.640; 505.0  
   4.660; 506.7  
   4.680; 508.9  
   4.700; 510.7  
   4.720; 512.7  
   4.740; 514.5  
   4.760; 516.4  
   4.780; 518.3  
   4.800; 520.2  
   4.820; 522.2  
   4.840; 524.1  
   4.860; 526.0  
   4.880; 528.1  
   4.900; 530.1  
   4.920; 531.9  
   4.940; 533.6  
   4.960; 535.5  
   4.980; 537.1  
   5.000; 539.0  
   5.020; 540.3  
   5.040; 542.3  
   5.060; 544.0  
   5.080; 545.7  
   5.100; 547.2  
   5.120; 548.9  
   5.140; 550.6  
   5.160; 552.4  
   5.180; 554.2  
   5.200; 555.9  
   5.220; 557.5  
   5.240; 559.1  
   5.260; 560.7  
   5.280; 562.2  
   5.300; 563.9  
   5.320; 565.6  
   5.340; 566.9  
   5.360; 568.3  
   5.380; 570.1  
   5.400; 571.5  
   5.420; 573.2  
   5.440; 574.7  
   5.460; 576.3  
   5.480; 577.8  
   5.500; 579.2  
   5.520; 580.8  
   5.540; 582.2  
   5.560; 583.7  
   5.580; 585.3  
   5.600; 586.6  
   5.620; 587.9  
   5.640; 589.2  
   5.660; 590.8  
   5.680; 592.0  
   5.700; 593.7  
   5.720; 595.0  
   5.740; 596.3  
   5.760; 597.3  
   5.780; 598.7  
   5.800; 599.8  
   5.820; 601.0  
   5.840; 601.9  
   5.860; 603.1  
   5.880; 604.4  
